Payout Date,Status,Charges,Refunds,Adjustments,Marketplace Sales Tax,Advances,Reserved Funds,Fees,Retried Amount,Total,Currency,Bank Reference
2025-12-19,paid,40.99,-8.32,0.00,0.00,0.00,0.00,1.70,0.00,30.97,USD,091000010288310
2025-12-18,paid,232.76,0.00,0.00,0.00,0.00,0.00,9.23,0.00,223.53,USD,111000023593820
2025-12-17,paid,158.00,0.00,0.00,0.00,0.00,0.00,4.41,0.00,153.59,USD,111000028702877
2025-12-16,paid,763.00,0.00,0.00,0.00,0.00,0.00,23.87,0.00,739.13,USD,091000016232757
2025-12-15,paid,96.31,0.00,0.00,0.00,0.00,0.00,3.11,0.00,93.20,USD,091000019030244
2025-12-14,paid,110.15,0.00,0.00,0.00,0.00,0.00,4.33,0.00,105.82,USD,1046912226993
2025-12-13,paid,96.33,0.00,0.00,0.00,0.00,0.00,7.96,0.00,88.37,USD,1046889203932
2025-12-12,paid,104.65,0.00,0.00,0.00,0.00,0.00,3.02,0.00,101.63,USD,091000012306000
2025-12-11,paid,174.14,0.00,0.00,0.00,0.00,0.00,5.13,0.00,169.01,USD,1046839138585
2025-12-11,paid,125.96,0.00,0.00,0.00,0.00,0.00,4.76,0.00,121.20,USD,091000018033265
2025-12-10,paid,76.14,0.00,0.00,0.00,0.00,0.00,3.15,0.00,72.99,USD,1046814968255
2025-12-10,paid,263.81,0.00,4.22,0.00,0.00,0.00,8.17,0.00,259.86,USD,091000017079110
2025-12-09,paid,527.55,0.00,0.00,0.00,0.00,0.00,21.52,0.00,506.03,USD,111000025695290
2025-12-08,paid,37.97,0.00,0.00,0.00,0.00,0.00,1.82,0.00,36.15,USD,1046767213356
2025-12-08,paid,417.72,-3.55,0.00,0.00,0.00,0.00,17.11,0.00,397.06,USD,111000027071868
2025-12-05,paid,556.49,-2.00,0.00,-2.06,0.00,0.00,18.92,0.00,533.51,USD,091000012509074
2025-12-04,paid,66.04,0.00,0.00,0.00,0.00,0.00,2.79,0.00,63.25,USD,1046668717126
2025-12-04,paid,684.87,0.00,0.00,0.00,0.00,0.00,27.29,0.00,657.58,USD,091000018087892
2025-12-03,paid,279.73,0.00,0.00,0.00,0.00,0.00,11.58,0.00,268.15,USD,1046644743412
2025-12-03,paid,1174.59,0.00,0.00,0.00,0.00,0.00,41.01,0.00,1133.58,USD,091000016678587
2025-12-02,paid,238.15,0.00,0.00,0.00,0.00,0.00,9.77,0.00,228.38,USD,1046618893301
2025-12-02,paid,3625.03,-0.98,0.00,-3.12,0.00,0.00,123.99,0.00,3496.94,USD,091000016417226
2025-12-01,paid,347.84,0.00,0.00,0.00,0.00,0.00,17.47,0.00,330.37,USD,1046587006687
2025-12-01,paid,661.02,0.00,0.00,-1.92,0.00,0.00,23.22,0.00,635.88,USD,111000022733935
2025-11-30,paid,292.59,0.00,0.00,0.00,0.00,0.00,15.04,0.00,277.55,USD,1046560653961
2025-11-29,paid,37.97,0.00,0.00,0.00,0.00,0.00,1.82,0.00,36.15,USD,1046536771072
2025-11-28,paid,88.00,0.00,0.00,0.00,0.00,0.00,3.56,0.00,84.44,USD,1046507052536
2025-11-28,paid,240.44,0.00,0.00,0.00,0.00,0.00,6.85,0.00,233.59,USD,111000029451038
2025-11-27,paid,165.17,0.00,0.00,0.00,0.00,0.00,10.24,0.00,154.93,USD,1046483721653
2025-11-26,paid,37.97,0.00,0.00,0.00,0.00,0.00,1.29,0.00,36.68,USD,1046459029519
2025-11-26,paid,377.55,0.00,0.00,0.00,0.00,0.00,17.33,0.00,360.22,USD,091000011477605
2025-11-25,paid,74.80,0.00,0.00,0.00,0.00,0.00,6.26,0.00,68.54,USD,1046435069502
2025-11-25,paid,1683.09,0.00,0.00,0.00,0.00,0.00,57.49,0.00,1625.60,USD,111000026212717
2025-11-24,paid,293.52,0.00,0.00,0.00,0.00,0.00,9.68,0.00,283.84,USD,1046411616917
2025-11-24,paid,1154.62,0.00,0.00,0.00,0.00,0.00,37.59,0.00,1117.03,USD,091000012045260
2025-11-21,paid,206.93,0.00,0.00,0.00,0.00,0.00,8.69,0.00,198.24,USD,1046343563494
2025-11-21,paid,991.40,0.00,0.00,0.00,0.00,0.00,32.01,0.00,959.39,USD,091000010231331
2025-11-20,paid,382.99,0.00,0.00,0.00,0.00,0.00,22.28,0.00,360.71,USD,111000024839095
2025-11-19,paid,86.55,0.00,0.00,0.00,0.00,0.00,2.55,0.00,84.00,USD,1046298256191
2025-11-19,paid,120.27,0.00,0.00,0.00,0.00,0.00,3.73,0.00,116.54,USD,091000015528919
2025-11-18,paid,86.55,0.00,0.00,0.00,0.00,0.00,3.51,0.00,83.04,USD,1046276578741
2025-11-18,paid,481.37,0.00,0.00,0.00,0.00,0.00,14.61,0.00,466.76,USD,091000015570900
2025-11-17,paid,222.94,0.00,0.00,-2.30,0.00,0.00,6.99,0.00,213.65,USD,091000014682365
2025-11-16,paid,37.97,0.00,0.00,0.00,0.00,0.00,1.82,0.00,36.15,USD,1046232063456
2025-11-14,paid,133.48,0.00,0.00,0.00,0.00,0.00,4.74,0.00,128.74,USD,091000014973717
2025-11-13,paid,209.80,0.00,0.00,0.00,0.00,0.00,6.71,0.00,203.09,USD,111000025514860
2025-11-12,paid,374.29,-1.75,0.00,0.00,0.00,0.00,11.24,0.00,361.30,USD,091000018903775
2025-11-10,paid,86.55,0.00,0.00,0.00,0.00,0.00,3.51,0.00,83.04,USD,1046096690484
2025-11-10,paid,252.11,0.00,0.00,0.00,0.00,0.00,7.83,0.00,244.28,USD,111000022702293
2025-11-07,paid,420.21,0.00,0.00,0.00,0.00,0.00,12.13,0.00,408.08,USD,111000024609230
2025-11-06,paid,347.17,0.00,0.00,0.00,0.00,0.00,11.40,0.00,335.77,USD,111000020984967
2025-11-05,paid,167.54,0.00,0.00,0.00,0.00,0.00,4.96,0.00,162.58,USD,091000017269967
2025-11-04,paid,66.74,0.00,0.00,0.00,0.00,0.00,2.82,0.00,63.92,USD,1045962535084
2025-11-04,paid,623.95,0.00,0.00,0.00,0.00,0.00,19.01,0.00,604.94,USD,111000021883683
2025-11-03,paid,238.88,-8.07,0.00,0.00,0.00,0.00,8.47,0.00,222.34,USD,091000018886712
2025-11-02,paid,86.55,0.00,0.00,0.00,0.00,0.00,3.51,0.00,83.04,USD,1045915144348
2025-11-01,paid,71.49,-4.34,0.00,0.00,0.00,0.00,6.02,0.00,61.13,USD,1045889236546
2025-10-31,paid,132.50,0.00,0.00,0.00,0.00,0.00,4.35,0.00,128.15,USD,091000015947350
2025-10-30,paid,268.06,0.00,0.00,0.00,0.00,0.00,13.36,0.00,254.70,USD,1045844052828
2025-10-30,paid,872.63,0.00,0.00,0.00,0.00,0.00,28.83,0.00,843.80,USD,091000016948549
2025-10-29,paid,147.96,0.00,0.00,0.00,0.00,0.00,6.06,0.00,141.90,USD,111000029695616
2025-10-28,paid,652.08,0.00,0.00,0.00,0.00,0.00,23.37,0.00,628.71,USD,111000024195480
2025-10-27,paid,38.74,0.00,0.00,0.00,0.00,0.00,1.31,0.00,37.43,USD,111000026034555
2025-10-24,paid,86.55,0.00,0.00,0.00,0.00,0.00,3.51,0.00,83.04,USD,1045714220512
2025-10-23,paid,113.75,0.00,0.00,0.00,0.00,0.00,3.26,0.00,110.49,USD,1045692270836
2025-10-23,paid,373.74,-6.26,0.00,0.00,0.00,0.00,10.98,0.00,356.50,USD,091000017086275
2025-10-22,paid,66.74,0.00,0.00,0.00,0.00,0.00,2.04,0.00,64.70,USD,1045671243254
2025-10-22,paid,277.10,0.00,0.00,0.00,0.00,0.00,8.40,0.00,268.70,USD,111000020109184
2025-10-21,paid,166.40,0.00,0.00,0.00,0.00,0.00,5.90,0.00,160.50,USD,1045650027259
2025-10-21,paid,278.68,0.00,0.00,0.00,0.00,0.00,8.75,0.00,269.93,USD,091000014781606
2025-10-20,paid,188.26,-2.55,3.81,0.00,0.00,0.00,10.75,0.00,178.77,USD,111000029999988
2025-10-19,paid,27.88,0.00,0.00,0.00,0.00,0.00,1.46,0.00,26.42,USD,1045608987622
2025-10-17,paid,365.88,0.00,0.00,0.00,0.00,0.00,15.05,0.00,350.83,USD,091000011445683
2025-10-16,paid,140.81,0.00,0.00,0.00,0.00,0.00,4.26,0.00,136.55,USD,1045544599477
2025-10-16,paid,155.55,0.00,0.00,0.00,0.00,0.00,6.31,0.00,149.24,USD,
2025-10-15,paid,626.51,-9.00,0.00,0.00,0.00,0.00,21.45,0.00,596.06,USD,111000028039724
2025-10-14,paid,180.34,0.00,0.00,0.00,0.00,0.00,5.59,0.00,174.75,USD,091000010361593
2025-10-13,paid,244.28,0.00,0.00,0.00,0.00,0.00,9.03,0.00,235.25,USD,1045479768178
2025-10-11,paid,66.74,0.00,0.00,0.00,0.00,0.00,2.04,0.00,64.70,USD,1045438494219
2025-10-10,paid,86.24,0.00,0.00,0.00,0.00,0.00,2.54,0.00,83.70,USD,111000023662466
2025-10-09,paid,135.61,0.00,0.00,0.00,0.00,0.00,4.91,0.00,130.70,USD,1045392919074
2025-10-09,paid,200.30,0.00,0.00,0.00,0.00,0.00,6.41,0.00,193.89,USD,111000021101845
2025-10-08,paid,60.97,0.00,0.00,0.00,0.00,0.00,1.89,0.00,59.08,USD,1045371123705
2025-10-08,paid,273.52,0.00,0.00,0.00,0.00,0.00,10.07,0.00,263.45,USD,111000027107919
2025-10-07,paid,193.21,0.00,0.00,0.00,0.00,0.00,5.93,0.00,187.28,USD,1045349606308
2025-10-07,paid,871.74,-6.51,0.00,0.00,0.00,0.00,30.83,0.00,834.40,USD,111000024345820
2025-10-06,paid,256.09,0.00,0.00,0.00,0.00,0.00,9.10,0.00,246.99,USD,1045327160379
2025-10-06,paid,154.24,-1.75,0.00,0.00,0.00,0.00,4.62,0.00,147.87,USD,111000024739641
2025-10-04,paid,134.28,0.00,0.00,0.00,0.00,0.00,4.10,0.00,130.18,USD,1045284303604
2025-10-03,paid,32.79,0.00,0.00,0.00,0.00,0.00,1.15,0.00,31.64,USD,1045260254055
2025-10-03,paid,169.50,0.00,0.00,0.00,0.00,0.00,5.31,0.00,164.19,USD,091000011308964
2025-10-02,paid,62.16,0.00,0.00,0.00,0.00,0.00,1.92,0.00,60.24,USD,1045236170927
2025-10-01,paid,81.50,0.00,0.00,0.00,0.00,0.00,2.42,0.00,79.08,USD,1045209273389
2025-10-01,paid,401.66,0.00,0.00,0.00,0.00,0.00,11.95,0.00,389.71,USD,091000010135965
2025-09-30,paid,169.96,0.00,0.00,0.00,0.00,0.00,6.91,0.00,163.05,USD,1045185002763
2025-09-30,paid,799.47,0.00,0.00,0.00,0.00,0.00,24.79,0.00,774.68,USD,111000028382284
2025-09-29,paid,56.59,0.00,0.00,0.00,0.00,0.00,2.46,0.00,54.13,USD,1045162755823
2025-09-29,paid,458.16,0.00,0.00,0.00,0.00,0.00,17.24,0.00,440.92,USD,111000029939682
2025-09-28,paid,109.48,0.00,0.00,0.00,0.00,0.00,3.98,0.00,105.50,USD,1045140577269
2025-09-27,paid,347.60,0.00,0.00,0.00,0.00,0.00,11.48,0.00,336.12,USD,1045119512604
2025-09-26,paid,113.75,0.00,0.00,0.00,0.00,0.00,4.46,0.00,109.29,USD,1045096458328
2025-09-26,paid,512.82,0.00,0.00,0.00,0.00,0.00,21.04,0.00,491.78,USD,091000019699513
2025-09-25,paid,181.80,0.00,0.00,0.00,0.00,0.00,6.58,0.00,175.22,USD,1045074211621
2025-09-25,paid,476.70,0.00,0.00,0.00,0.00,0.00,16.40,0.00,460.30,USD,091000018149460
2025-09-24,paid,60.97,-59.66,0.00,0.00,0.00,0.00,1.89,0.00,-0.58,USD,091000016465330
2025-09-23,paid,566.63,0.00,0.00,0.00,0.00,0.00,19.76,0.00,546.87,USD,111000022608882
2025-09-22,paid,124.82,0.00,0.00,0.00,0.00,0.00,3.84,0.00,120.98,USD,1045011635862
2025-09-22,paid,215.60,0.00,0.00,0.00,0.00,0.00,6.50,0.00,209.10,USD,111000022172425
2025-09-19,paid,84.00,0.00,0.00,0.00,0.00,0.00,2.48,0.00,81.52,USD,1044949073762
2025-09-19,paid,134.76,-5.20,0.00,0.00,0.00,0.00,3.97,0.00,125.59,USD,111000024702507
2025-09-18,paid,129.60,0.00,0.00,0.00,0.00,0.00,4.97,0.00,124.63,USD,111000023112067
2025-09-17,paid,62.16,0.00,0.00,0.00,0.00,0.00,1.92,0.00,60.24,USD,111000020217661
2025-09-16,paid,66.74,0.00,0.00,0.00,0.00,0.00,2.04,0.00,64.70,USD,1044885600526
2025-09-15,paid,79.21,0.00,0.00,0.00,0.00,0.00,4.27,0.00,74.94,USD,111000028743404
2025-09-12,paid,180.46,0.00,0.00,0.00,0.00,0.00,9.67,0.00,170.79,USD,091000018650150
2025-09-11,paid,101.56,0.00,0.00,0.00,0.00,0.00,3.24,0.00,98.32,USD,111000027245453
2025-09-10,paid,68.99,0.00,0.00,0.00,0.00,0.00,2.78,0.00,66.21,USD,1044756956926
2025-09-10,paid,185.03,0.00,0.00,0.00,0.00,0.00,5.41,0.00,179.62,USD,111000023290342
2025-09-09,paid,46.99,0.00,0.00,0.00,0.00,0.00,2.13,0.00,44.86,USD,1044735968971
2025-09-09,paid,117.43,0.00,0.00,0.00,0.00,0.00,3.65,0.00,113.78,USD,111000021909473
2025-09-08,paid,68.99,0.00,0.00,0.00,0.00,0.00,2.09,0.00,66.90,USD,1044714596229
2025-09-08,paid,68.99,0.00,0.00,0.00,0.00,0.00,4.37,0.00,64.62,USD,091000013354379
2025-09-05,paid,166.82,0.00,0.00,0.00,0.00,0.00,6.31,0.00,160.51,USD,1044647792009
2025-09-05,paid,147.70,0.00,1.57,-4.68,0.00,0.00,5.36,0.00,139.23,USD,111000024336392
2025-09-04,paid,76.99,0.00,0.00,0.00,0.00,0.00,2.30,0.00,74.69,USD,091000013072271
2025-09-03,paid,362.62,0.00,0.00,0.00,0.00,0.00,10.63,0.00,351.99,USD,111000023795398
2025-09-02,paid,69.70,0.00,0.00,0.00,0.00,0.00,2.11,0.00,67.59,USD,1044578437498
2025-09-02,paid,36.49,0.00,0.00,-4.71,0.00,0.00,1.25,0.00,30.53,USD,111000021227347
2025-08-30,paid,102.38,0.00,0.00,0.00,0.00,0.00,4.06,0.00,98.32,USD,1044513880771
2025-08-29,paid,137.98,0.00,0.00,0.00,0.00,0.00,5.68,0.00,132.30,USD,1044490422966
2025-08-29,paid,95.82,0.00,0.00,0.00,0.00,0.00,5.11,0.00,90.71,USD,
2025-08-28,paid,192.73,0.00,0.00,0.00,0.00,0.00,9.77,0.00,182.96,USD,1044466602081
2025-08-28,paid,124.07,0.00,0.00,0.00,0.00,0.00,4.69,0.00,119.38,USD,091000013161752
2025-08-27,paid,151.39,0.00,0.00,0.00,0.00,0.00,4.53,0.00,146.86,USD,091000011597523
2025-08-26,paid,88.00,0.00,0.00,0.00,0.00,0.00,2.59,0.00,85.41,USD,1044423616437
2025-08-26,paid,376.88,-152.20,0.00,4.20,0.00,0.00,11.59,0.00,217.29,USD,111000026488703
2025-08-23,paid,73.99,0.00,0.00,0.00,0.00,0.00,2.22,0.00,71.77,USD,1044399856362
2025-08-22,paid,67.54,0.00,0.00,0.00,0.00,0.00,2.06,0.00,65.48,USD,1044338870095
2025-08-22,paid,133.48,0.00,0.00,0.00,0.00,0.00,4.08,0.00,129.40,USD,091000013458215
2025-08-21,paid,231.50,-51.00,0.00,0.00,0.00,0.00,14.26,0.00,166.24,USD,ZSGLXK4DWAB0EH3
2025-08-21,paid,90.55,0.00,0.00,0.00,0.00,0.00,2.65,0.00,87.90,USD,091000012983009
2025-08-20,paid,101.62,0.00,0.00,0.00,0.00,0.00,6.30,0.00,95.32,USD,JLAOMSJ18TQHCCA
2025-08-20,paid,316.11,0.00,0.00,-1.43,0.00,0.00,10.73,0.00,303.95,USD,091000012118472
2025-08-19,paid,345.03,0.00,0.00,0.00,0.00,0.00,10.18,0.00,334.85,USD,111000023206374
2025-08-18,paid,103.79,0.00,0.00,0.00,0.00,0.00,4.58,0.00,99.21,USD,1044254636513
2025-08-18,paid,399.09,0.00,0.00,0.00,0.00,0.00,11.58,0.00,387.51,USD,111000024844523
2025-08-16,paid,151.54,0.00,0.00,0.00,0.00,0.00,9.54,0.00,142.00,USD,GRK6A29F34Q6SAL
2025-08-15,paid,259.32,-81.29,0.00,-12.04,0.00,0.00,7.31,0.00,158.68,USD,091000016068064
2025-08-14,paid,188.09,0.00,0.00,0.00,0.00,0.00,6.28,0.00,181.81,USD,1044170357880
2025-08-14,paid,407.05,0.00,0.00,0.00,0.00,0.00,14.44,0.00,392.61,USD,091000012719450
2025-08-13,paid,200.53,0.00,0.00,0.00,0.00,0.00,11.34,0.00,189.19,USD,1044149333171
2025-08-13,paid,86.55,0.00,0.00,0.00,0.00,0.00,2.55,0.00,84.00,USD,111000020006211
2025-08-12,paid,86.24,0.00,0.00,0.00,0.00,0.00,3.40,0.00,82.84,USD,111000028476774
2025-08-11,paid,151.24,-3.90,0.00,0.00,0.00,0.00,4.43,0.00,142.91,USD,091000011729365
2025-08-10,paid,152.24,0.00,0.00,0.00,0.00,0.00,5.38,0.00,146.86,USD,1044086950926
2025-08-08,paid,129.50,0.00,0.00,0.00,0.00,0.00,5.50,0.00,124.00,USD,1044044481038
2025-08-08,paid,89.55,0.00,0.00,0.00,0.00,0.00,5.58,0.00,83.97,USD,GBS8UH336B2TVBP
2025-08-08,paid,150.94,0.00,0.00,0.00,0.00,0.00,4.52,0.00,146.42,USD,091000013777115
2025-08-07,paid,311.31,-28.00,0.00,0.00,0.00,0.00,14.89,0.00,268.42,USD,1044022424755
2025-08-07,paid,62.99,-56.00,0.00,0.00,0.00,0.00,1.94,0.00,5.05,USD,091000013297898
2025-08-06,paid,38.74,0.00,0.00,0.00,0.00,0.00,1.31,0.00,37.43,USD,1044001146317
2025-08-06,paid,37.97,0.00,0.00,0.00,0.00,0.00,2.54,0.00,35.43,USD,1E1LVCZB9GPKOWS
2025-08-06,paid,97.96,0.00,0.00,0.00,0.00,0.00,3.15,0.00,94.81,USD,091000011777173
2025-08-05,paid,199.07,0.00,0.00,0.00,0.00,0.00,6.55,0.00,192.52,USD,1043979358108
2025-08-05,paid,53.41,0.00,0.00,0.00,0.00,0.00,3.45,0.00,49.96,USD,9BQVLOAWSF5ECIT
2025-08-05,paid,750.23,-157.70,0.00,0.00,0.00,0.00,24.56,0.00,567.97,USD,111000024300802
2025-08-03,paid,64.99,0.00,0.00,0.00,0.00,0.00,2.76,0.00,62.23,USD,1043935722201
2025-08-02,paid,198.16,0.00,0.00,0.00,0.00,0.00,6.35,0.00,191.81,USD,1043913701379
2025-08-01,paid,116.92,0.00,0.00,0.00,0.00,0.00,8.42,0.00,108.50,USD,1043885997555
2025-08-01,paid,146.24,0.00,12.40,0.00,0.00,0.00,4.72,0.00,153.92,USD,091000014675021
2025-07-31,paid,316.92,0.00,0.00,-4.04,0.00,0.00,9.81,0.00,303.07,USD,111000029244806
2025-07-30,paid,0.00,-24.77,0.00,0.00,0.00,0.00,0.00,0.00,-24.77,USD,1043843827875
2025-07-30,paid,343.69,0.00,0.00,0.00,0.00,0.00,18.20,0.00,325.49,USD,1043842314891
2025-07-30,paid,58.08,0.00,0.00,0.00,0.00,0.00,3.73,0.00,54.35,USD,EOWQWDJ5NXYWQ6Y
2025-07-30,paid,400.58,0.00,0.00,0.00,0.00,0.00,12.81,0.00,387.77,USD,091000011994632
2025-07-29,paid,68.49,0.00,0.00,0.00,0.00,0.00,2.08,0.00,66.41,USD,1043821607973
2025-07-29,paid,113.58,0.00,0.00,0.00,0.00,0.00,7.00,0.00,106.58,USD,3FFWBGHKQYP2A4D
2025-07-29,paid,414.28,0.00,0.00,0.00,0.00,0.00,13.26,0.00,401.02,USD,111000022398730
2025-07-28,paid,88.00,0.00,0.00,0.00,0.00,0.00,2.59,0.00,85.41,USD,1043798774832
2025-07-28,paid,88.16,0.00,0.00,0.00,0.00,0.00,5.50,0.00,82.66,USD,MN9Q22PJAC61K0S
2025-07-28,paid,605.63,0.00,0.00,-8.76,0.00,0.00,18.14,0.00,578.73,USD,111000022214546
2025-07-27,paid,266.10,0.00,0.00,0.00,0.00,0.00,9.76,0.00,256.34,USD,1043778876976
2025-07-25,paid,103.73,0.00,0.00,0.00,0.00,0.00,4.08,0.00,99.65,USD,1043736495766
2025-07-25,paid,323.76,0.00,0.00,0.00,0.00,0.00,10.59,0.00,313.17,USD,111000025502415
2025-07-24,paid,104.75,0.00,1.23,-3.00,0.00,0.00,3.35,0.00,99.63,USD,111000023332223
2025-07-23,paid,64.99,0.00,0.00,0.00,0.00,0.00,1.99,0.00,63.00,USD,1043694628837
2025-07-22,paid,104.71,0.00,0.00,0.00,0.00,0.00,4.64,0.00,100.07,USD,1043673864025
2025-07-22,paid,73.99,0.00,0.00,0.00,0.00,0.00,4.67,0.00,69.32,USD,F6D94X35CDU1PHR
2025-07-22,paid,726.38,-7.11,0.00,0.00,0.00,0.00,22.51,0.00,696.76,USD,111000028705453
2025-07-21,paid,605.90,-59.99,0.00,0.00,0.00,0.00,18.86,0.00,527.05,USD,111000020970902
2025-07-19,paid,82.35,0.00,0.00,0.00,0.00,0.00,3.36,0.00,78.99,USD,1043613514038
2025-07-18,paid,80.11,0.00,0.00,0.00,0.00,0.00,3.14,0.00,76.97,USD,1043591419923
2025-07-18,paid,189.26,0.00,0.00,-4.65,0.00,0.00,6.40,0.00,178.21,USD,
2025-07-17,paid,343.65,0.00,0.00,0.00,0.00,0.00,11.25,0.00,332.40,USD,111000022266786
2025-07-16,paid,70.74,0.00,0.00,0.00,0.00,0.00,2.96,0.00,67.78,USD,1043548336811
2025-07-16,paid,359.28,0.00,0.00,0.00,0.00,0.00,14.07,0.00,345.21,USD,
2025-07-15,paid,1242.73,0.00,0.00,0.00,0.00,0.00,38.73,0.00,1204.00,USD,111000025030981
2025-07-14,paid,286.63,0.00,0.00,0.00,0.00,0.00,8.66,0.00,277.97,USD,111000026952960
2025-07-13,paid,82.35,0.00,0.00,0.00,0.00,0.00,2.44,0.00,79.91,USD,1043485054607
2025-07-11,paid,261.24,0.00,0.00,0.00,0.00,0.00,9.62,0.00,251.62,USD,1043442630284
2025-07-11,paid,265.41,0.00,0.00,0.00,0.00,0.00,8.10,0.00,257.31,USD,091000013287095
2025-07-10,paid,192.32,0.00,0.00,0.00,0.00,0.00,7.26,0.00,185.06,USD,1043420668265
2025-07-10,paid,528.19,0.00,0.00,0.00,0.00,0.00,16.43,0.00,511.76,USD,091000013428725
2025-07-09,paid,285.52,0.00,0.00,0.00,0.00,0.00,9.74,0.00,275.78,USD,1043399175652
2025-07-09,paid,726.96,0.00,0.00,0.00,0.00,0.00,22.19,0.00,704.77,USD,091000015597012
2025-07-08,paid,112.32,0.00,0.00,0.00,0.00,0.00,4.44,0.00,107.88,USD,1043377657065
2025-07-08,paid,162.35,0.00,0.00,0.00,0.00,0.00,10.18,0.00,152.17,USD,GROGFP9EX0E7KMZ
2025-07-08,paid,4119.05,-9.24,0.00,0.00,0.00,0.00,134.43,0.00,3975.38,USD,091000015259724
2025-07-07,paid,209.03,0.00,0.00,0.00,0.00,0.00,9.53,0.00,199.50,USD,1043355102422
2025-07-07,paid,485.42,-79.54,5.45,-14.42,0.00,0.00,14.86,0.00,382.05,USD,091000016944836
2025-07-06,paid,718.19,0.00,0.00,0.00,0.00,0.00,21.31,0.00,696.88,USD,1043334961117
2025-07-06,paid,346.64,0.00,0.00,0.00,0.00,0.00,21.35,0.00,325.29,USD,Z4FVO16VF0HJSGJ
2025-07-05,paid,148.35,0.00,0.00,0.00,0.00,0.00,9.05,0.00,139.30,USD,R1Q8O14PTJPH4X0
2025-07-04,paid,118.02,0.00,0.00,0.00,0.00,0.00,4.17,0.00,113.85,USD,1043295018167
2025-07-03,paid,227.66,0.00,0.00,0.00,0.00,0.00,9.42,0.00,218.24,USD,1043271433369
2025-07-03,paid,227.99,0.00,0.00,0.00,0.00,0.00,6.53,0.00,221.46,USD,111000028333059
2025-07-02,paid,200.14,0.00,0.00,0.00,0.00,0.00,7.97,0.00,192.17,USD,1043247625629
2025-07-02,paid,243.69,0.00,0.00,0.00,0.00,0.00,7.53,0.00,236.16,USD,091000016288835
