order_name,created_at,financial_status,fulfillment_status,total,subtotal,shipping,tax,refunded,discounts
"#14128","2025-01-14T07:52:34Z","PAID","FULFILLED","26.04","0","0","0","0","0"
"#14129","2025-01-14T08:02:32Z","PAID","FULFILLED","26.01","0","0","0","0","0"
"#14130","2025-01-14T08:12:50Z","PAID","FULFILLED","26.07","0","0","0","0","0"
"#14131","2025-01-14T11:07:40Z","PAID","FULFILLED","47.6","0","0","0","0","0"
"#14132","2025-01-14T11:37:19Z","PAID","FULFILLED","32.79","0","0","0","0","0"
"#14133","2025-01-14T12:15:11Z","PAID","FULFILLED","75.93","0","0","0","0","0"
"#14134","2025-01-14T12:36:30Z","PAID","FULFILLED","112.0","0","0","0","0","0"
"#14135","2025-01-14T14:36:09Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14136","2025-01-14T14:39:25Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14137","2025-01-14T14:41:12Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14138","2025-01-14T15:55:22Z","PAID","FULFILLED","66.74","0","0","0","0","0"
"#14139","2025-01-14T17:39:07Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14140","2025-01-14T17:52:17Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14141","2025-01-14T21:08:00Z","PAID","UNFULFILLED","93.62","0","0","0","0","0"
"#14142","2025-01-14T21:11:12Z","PAID","FULFILLED","81.35","0","0","0","0","0"
"#14143","2025-01-14T21:45:19Z","PAID","FULFILLED","155.84","0","0","0","0","0"
"#14144","2025-01-14T21:49:22Z","PAID","FULFILLED","95.2","0","0","0","0","0"
"#14145","2025-01-14T22:31:18Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14146","2025-01-15T00:03:26Z","PAID","FULFILLED","67.06","0","0","0","0","0"
"#14147","2025-01-15T00:09:42Z","PAID","FULFILLED","82.22","0","0","0","0","0"
"#14148","2025-01-15T00:41:24Z","PAID","FULFILLED","115.35","0","0","0","0","0"
"#14149","2025-01-15T01:44:02Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14150","2025-01-15T02:29:09Z","PAID","FULFILLED","23.8","0","0","0","0","0"
"#14151","2025-01-15T03:25:57Z","PAID","FULFILLED","16.66","0","0","0","0","0"
"#14152","2025-01-15T03:29:12Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14153","2025-01-15T03:39:04Z","PAID","FULFILLED","26.07","0","0","0","0","0"
"#14154","2025-01-15T04:00:45Z","PAID","FULFILLED","26.12","0","0","0","0","0"
"#14155","2025-01-15T04:30:39Z","PAID","FULFILLED","29.97","0","0","0","0","0"
"#14156","2025-01-15T04:53:02Z","PAID","FULFILLED","39.51","0","0","0","0","0"
"#14157","2025-01-15T05:20:07Z","PAID","FULFILLED","18.97","0","0","0","0","0"
"#14158","2025-01-15T08:51:44Z","PAID","FULFILLED","139.0","0","0","0","0","0"
"#14159","2025-01-15T11:58:16Z","PAID","FULFILLED","23.21","0","0","0","0","0"
"#14160","2025-01-15T13:12:24Z","PAID","FULFILLED","66.74","0","0","0","0","0"
"#14161","2025-01-15T13:29:16Z","PAID","FULFILLED","170.35","0","0","0","0","0"
"#14162","2025-01-15T14:12:23Z","PAID","FULFILLED","51.41","0","0","0","0","0"
"#14163","2025-01-15T16:52:10Z","PAID","FULFILLED","78.74","0","0","0","0","0"
"#14164","2025-01-15T17:18:39Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14165","2025-01-15T19:38:05Z","PAID","FULFILLED","93.62","0","0","0","0","0"
"#14166","2025-01-15T19:54:42Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14167","2025-01-15T19:56:15Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14168","2025-01-15T19:57:38Z","PAID","UNFULFILLED","0.0","0","0","0","0","0"
"#14169","2025-01-15T19:59:41Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14170","2025-01-16T02:18:13Z","PAID","FULFILLED","23.21","0","0","0","0","0"
"#14171","2025-01-16T03:05:41Z","PAID","FULFILLED","37.97","0","0","0","0","0"
"#14172","2025-01-16T04:48:46Z","PAID","FULFILLED","22.85","0","0","0","0","0"
"#14173","2025-01-16T06:31:50Z","PAID","FULFILLED","47.6","0","0","0","0","0"
"#14174","2025-01-16T16:55:26Z","PAID","FULFILLED","33.62","0","0","0","0","0"
"#14175","2025-01-16T18:48:43Z","PAID","FULFILLED","29.97","0","0","0","0","0"
"#14176","2025-01-16T20:24:34Z","PAID","FULFILLED","237.0","0","0","0","0","0"
"#14177","2025-01-17T01:15:04Z","PAID","FULFILLED","84.0","0","0","0","0","0"
"#14178","2025-01-17T01:16:11Z","PAID","FULFILLED","22.85","0","0","0","0","0"
"#14179","2025-01-17T03:02:13Z","PAID","FULFILLED","51.7","0","0","0","0","0"
"#14180","2025-01-17T04:05:33Z","PAID","FULFILLED","174.0","0","0","0","0","0"
"#14181","2025-01-17T05:32:28Z","PAID","FULFILLED","36.99","0","0","0","0","0"
"#14182","2025-01-17T13:35:07Z","PAID","FULFILLED","37.97","0","0","0","0","0"
"#14183","2025-01-17T14:05:20Z","PAID","FULFILLED","23.83","0","0","0","0","0"
"#14184","2025-01-17T16:12:41Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14185","2025-01-17T16:20:15Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14186","2025-01-17T16:21:53Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14187","2025-01-17T16:24:45Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14188","2025-01-17T16:35:21Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14189","2025-01-17T16:43:39Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14190","2025-01-17T16:46:18Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14191","2025-01-17T17:05:03Z","PAID","FULFILLED","80.39","0","0","0","0","0"
"#14192","2025-01-17T17:56:10Z","PAID","FULFILLED","25.35","0","0","0","0","0"
"#14193","2025-01-17T18:44:00Z","PAID","FULFILLED","75.69","0","0","0","0","0"
"#14194","2025-01-17T19:13:37Z","PAID","FULFILLED","86.55","0","0","0","0","0"
"#14195","2025-01-17T19:28:11Z","PAID","FULFILLED","38.74","0","0","0","0","0"
"#14196","2025-01-17T22:02:50Z","PAID","FULFILLED","37.99","0","0","0","0","0"
"#14197","2025-01-17T22:06:41Z","PAID","FULFILLED","32.79","0","0","0","0","0"
"#14198","2025-01-18T02:39:23Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14199","2025-01-18T05:42:00Z","PAID","FULFILLED","114.55","0","0","0","0","0"
"#14200","2025-01-18T07:33:10Z","PAID","FULFILLED","25.86","0","0","0","0","0"
"#14201","2025-01-18T09:15:26Z","PAID","FULFILLED","144.15","0","0","0","0","0"
"#14202","2025-01-18T09:51:06Z","PAID","FULFILLED","25.47","0","0","0","0","0"
"#14203","2025-01-18T13:25:43Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14204","2025-01-18T17:29:56Z","PAID","FULFILLED","51.54","0","0","0","0","0"
"#14205","2025-01-18T20:47:44Z","PAID","FULFILLED","25.47","0","0","0","0","0"
"#14206","2025-01-18T21:12:39Z","PAID","FULFILLED","113.98","0","0","0","0","0"
"#14207","2025-01-18T23:04:01Z","PAID","FULFILLED","86.55","0","0","0","0","0"
"#14208","2025-01-18T23:32:53Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14209","2025-01-18T23:35:12Z","PAID","UNFULFILLED","0.0","0","0","0","0","0"
"#14210","2025-01-18T23:37:44Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14211","2025-01-19T01:09:50Z","PAID","FULFILLED","91.99","0","0","0","0","0"
"#14212","2025-01-19T02:02:08Z","PAID","FULFILLED","98.0","0","0","0","0","0"
"#14213","2025-01-19T03:35:38Z","PAID","FULFILLED","23.8","0","0","0","0","0"
"#14214","2025-01-19T19:04:23Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14215","2025-01-19T19:13:54Z","PAID","FULFILLED","80.39","0","0","0","0","0"
"#14216","2025-01-19T20:15:36Z","PAID","FULFILLED","37.97","0","0","0","0","0"
"#14217","2025-01-19T21:09:34Z","PAID","FULFILLED","39.54","0","0","0","0","0"
"#14218","2025-01-19T21:48:26Z","PAID","FULFILLED","66.99","0","0","0","0","0"
"#14219","2025-01-19T23:33:59Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14220","2025-01-20T02:20:54Z","PAID","FULFILLED","83.95","0","0","0","0","0"
"#14221","2025-01-20T02:31:09Z","PAID","FULFILLED","75.73","0","0","0","0","0"
"#14222","2025-01-20T02:49:01Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14223","2025-01-20T02:50:26Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14224","2025-01-20T05:21:04Z","PAID","FULFILLED","86.76","0","0","0","0","0"
"#14225","2025-01-20T05:45:27Z","PAID","FULFILLED","110.15","0","0","0","0","0"
"#14226","2025-01-20T06:46:10Z","PAID","FULFILLED","82.55","0","0","0","0","0"
"#14227","2025-01-20T14:32:50Z","PAID","FULFILLED","36.24","0","0","0","0","0"
"#14228","2025-01-20T18:32:35Z","PAID","FULFILLED","32.79","0","0","0","0","0"
"#14229","2025-01-20T18:45:00Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14230","2025-01-20T19:44:35Z","PAID","FULFILLED","75.73","0","0","0","0","0"
"#14231","2025-01-20T21:51:54Z","PAID","FULFILLED","36.99","0","0","0","0","0"
"#14232","2025-01-20T23:54:37Z","PAID","FULFILLED","25.31","0","0","0","0","0"
"#14233","2025-01-21T04:17:25Z","PAID","FULFILLED","38.97","0","0","0","0","0"
"#14234","2025-01-21T05:28:14Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14235","2025-01-21T14:56:22Z","PAID","FULFILLED","52.14","0","0","0","0","0"
"#14236","2025-01-21T16:42:23Z","PAID","FULFILLED","56.59","0","0","0","0","0"
"#14237","2025-01-21T19:38:26Z","PAID","FULFILLED","146.7","0","0","0","0","0"
"#14238","2025-01-21T20:27:42Z","PAID","FULFILLED","287.99","0","0","0","0","0"
"#14239","2025-01-21T21:08:53Z","PAID","FULFILLED","25.7","0","0","0","0","0"
"#14240","2025-01-21T23:20:19Z","PAID","FULFILLED","29.99","0","0","0","0","0"
"#14241","2025-01-22T01:08:50Z","PAID","FULFILLED","24.0","0","0","0","0","0"
"#14242","2025-01-22T01:58:36Z","PAID","FULFILLED","48.02","0","0","0","0","0"
"#14243","2025-01-22T03:41:48Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14244","2025-01-22T06:58:57Z","PAID","FULFILLED","98.04","0","0","0","0","0"
"#14245","2025-01-22T18:20:36Z","PAID","FULFILLED","38.97","0","0","0","0","0"
"#14246","2025-01-22T19:22:33Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14247","2025-01-22T20:20:59Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14248","2025-01-22T23:19:11Z","PAID","FULFILLED","158.0","0","0","0","0","0"
"#14249","2025-01-23T01:54:14Z","PAID","FULFILLED","198.75","0","0","0","0","0"
"#14250","2025-01-23T02:30:27Z","PAID","FULFILLED","29.75","0","0","0","0","0"
"#14251","2025-01-23T02:55:33Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14252","2025-01-23T04:30:42Z","PAID","FULFILLED","36.99","0","0","0","0","0"
"#14253","2025-01-23T04:55:55Z","PAID","FULFILLED","37.97","0","0","0","0","0"
"#14254","2025-01-23T13:23:50Z","PAID","FULFILLED","32.79","0","0","0","0","0"
"#14255","2025-01-23T15:49:38Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14256","2025-01-23T17:51:17Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14257","2025-01-23T18:27:08Z","PAID","FULFILLED","36.99","0","0","0","0","0"
"#14258","2025-01-23T21:41:21Z","PAID","FULFILLED","23.8","0","0","0","0","0"
"#14259","2025-01-23T23:38:22Z","PAID","FULFILLED","80.39","0","0","0","0","0"
"#14260","2025-01-24T01:58:52Z","PAID","FULFILLED","37.97","0","0","0","0","0"
"#14261","2025-01-24T04:11:57Z","PAID","FULFILLED","69.94","0","0","0","0","0"
"#14262","2025-01-24T05:07:45Z","PAID","FULFILLED","86.55","0","0","0","0","0"
"#14263","2025-01-24T07:49:58Z","PAID","FULFILLED","36.99","0","0","0","0","0"
"#14264","2025-01-24T18:31:29Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14265","2025-01-24T18:56:52Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14266","2025-01-24T18:57:44Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14267","2025-01-24T19:14:14Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14268","2025-01-24T19:40:09Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14269","2025-01-24T20:17:48Z","PAID","FULFILLED","84.0","0","0","0","0","0"
"#14270","2025-01-24T21:35:04Z","PAID","FULFILLED","66.74","0","0","0","0","0"
"#14271","2025-01-25T09:51:47Z","PAID","FULFILLED","26.07","0","0","0","0","0"
"#14272","2025-01-25T13:13:57Z","PAID","FULFILLED","69.82","0","0","0","0","0"
"#14273","2025-01-25T14:23:21Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14274","2025-01-25T15:03:35Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14275","2025-01-25T16:08:11Z","PAID","FULFILLED","82.39","0","0","0","0","0"
"#14276","2025-01-25T16:57:55Z","PAID","FULFILLED","56.59","0","0","0","0","0"
"#14277","2025-01-26T00:04:02Z","PAID","FULFILLED","65.97","0","0","0","0","0"
"#14278","2025-01-26T00:17:10Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14279","2025-01-26T02:24:40Z","PAID","FULFILLED","57.94","0","0","0","0","0"
"#14280","2025-01-26T03:04:24Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14281","2025-01-26T03:40:09Z","PAID","FULFILLED","255.7","0","0","0","0","0"
"#14282","2025-01-26T05:43:48Z","PAID","FULFILLED","57.34","0","0","0","0","0"
"#14283","2025-01-26T20:19:48Z","PAID","FULFILLED","76.14","0","0","0","0","0"
"#14284","2025-01-26T20:46:42Z","PAID","FULFILLED","112.0","0","0","0","0","0"
"#14285","2025-01-26T22:15:59Z","PAID","FULFILLED","58.07","0","0","0","0","0"
"#14286","2025-01-27T00:00:11Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14287","2025-01-27T00:04:45Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14293","2025-01-27T07:01:28Z","PAID","FULFILLED","107.98","0","0","0","0","0"
"#14294","2025-01-27T16:28:27Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14295","2025-01-27T16:51:46Z","PAID","FULFILLED","36.99","0","0","0","0","0"
"#14296","2025-01-27T17:43:15Z","PAID","FULFILLED","82.55","0","0","0","0","0"
"#14297","2025-01-27T21:29:28Z","PAID","FULFILLED","37.99","0","0","0","0","0"
"#14298","2025-01-28T02:27:54Z","PAID","FULFILLED","76.14","0","0","0","0","0"
"#14299","2025-01-28T04:22:13Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14300","2025-01-28T05:15:33Z","PAID","FULFILLED","32.79","0","0","0","0","0"
"#14301","2025-01-28T06:54:27Z","PAID","FULFILLED","36.99","0","0","0","0","0"
"#14302","2025-01-28T08:42:13Z","PAID","FULFILLED","82.35","0","0","0","0","0"
"#14303","2025-01-28T14:56:31Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14304","2025-01-28T16:46:17Z","PAID","FULFILLED","162.75","0","0","0","0","0"
"#14305","2025-01-28T18:01:09Z","PAID","FULFILLED","57.75","0","0","0","0","0"
"#14306","2025-01-28T18:16:13Z","PAID","FULFILLED","84.04","0","0","0","0","0"
"#14307","2025-01-28T18:18:13Z","PAID","FULFILLED","37.97","0","0","0","0","0"
"#14308","2025-01-28T18:23:30Z","PAID","FULFILLED","84.0","0","0","0","0","0"
"#14309","2025-01-28T18:26:13Z","PAID","FULFILLED","242.0","0","0","0","0","0"
"#14310","2025-01-28T19:05:08Z","PAID","FULFILLED","81.35","0","0","0","0","0"
"#14311","2025-01-28T19:27:10Z","PAID","FULFILLED","81.35","0","0","0","0","0"
"#14312","2025-01-28T19:30:35Z","PAID","FULFILLED","42.14","0","0","0","0","0"
"#14313","2025-01-28T21:59:47Z","PAID","FULFILLED","135.0","0","0","0","0","0"
"#14314","2025-01-28T22:18:03Z","PAID","FULFILLED","78.13","0","0","0","0","0"
"#14315","2025-01-28T22:52:13Z","PAID","FULFILLED","23.39","0","0","0","0","0"
"#14316","2025-01-28T23:05:32Z","PAID","FULFILLED","138.18","0","0","0","0","0"
"#14317","2025-01-29T00:56:25Z","PAID","FULFILLED","112.0","0","0","0","0","0"
"#14318","2025-01-29T01:52:44Z","PAID","FULFILLED","36.97","0","0","0","0","0"
"#14319","2025-01-29T03:09:30Z","PAID","FULFILLED","66.74","0","0","0","0","0"
"#14320","2025-01-29T04:05:18Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14321","2025-01-29T05:31:59Z","PAID","FULFILLED","25.41","0","0","0","0","0"
"#14322","2025-01-29T05:36:19Z","PAID","FULFILLED","86.55","0","0","0","0","0"
"#14323","2025-01-29T14:03:53Z","PAID","FULFILLED","359.0","0","0","0","0","0"
"#14324","2025-01-29T19:24:19Z","PAID","FULFILLED","36.99","0","0","0","0","0"
"#14325","2025-01-29T21:49:05Z","PAID","FULFILLED","139.0","0","0","0","0","0"
"#14326","2025-01-30T00:34:20Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14327","2025-01-30T02:00:53Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14328","2025-01-30T02:33:26Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14329","2025-01-30T03:11:14Z","PAID","FULFILLED","38.74","0","0","0","0","0"
"#14330","2025-01-30T03:48:37Z","PAID","FULFILLED","32.79","0","0","0","0","0"
"#14331","2025-01-30T07:08:16Z","PAID","FULFILLED","103.7","0","0","0","0","0"
"#14332","2025-01-30T17:00:34Z","PAID","FULFILLED","87.35","0","0","0","0","0"
"#14333","2025-01-30T17:20:58Z","PAID","FULFILLED","51.88","0","0","0","0","0"
"#14334","2025-01-30T17:55:59Z","PAID","FULFILLED","169.1","0","0","0","0","0"
"#14335","2025-01-30T18:50:10Z","PAID","FULFILLED","26.19","0","0","0","0","0"
"#14336","2025-01-30T20:44:12Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14337","2025-01-30T20:59:59Z","PAID","FULFILLED","66.74","0","0","0","0","0"
"#14338","2025-01-30T21:57:55Z","PAID","FULFILLED","37.97","0","0","0","0","0"
"#14339","2025-01-30T23:34:41Z","PAID","FULFILLED","51.3","0","0","0","0","0"
"#14340","2025-01-31T05:31:14Z","PAID","FULFILLED","36.99","0","0","0","0","0"
"#14341","2025-01-31T14:06:28Z","PAID","FULFILLED","81.35","0","0","0","0","0"
"#14342","2025-01-31T17:46:59Z","PAID","FULFILLED","220.35","0","0","0","0","0"
"#14343","2025-01-31T18:30:07Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14344","2025-01-31T19:27:58Z","PAID","FULFILLED","67.0","0","0","0","0","0"
