Transaction Date,Type,Order,Card Brand,Card Source,Payout Status,Payout Date,Payout ID,Available On,Amount,Fee,Net,Checkout,Payment Method Name,Presentment Amount,Presentment Currency,Currency
2026-01-04 05:33:39 -0500,charge,#17688,unknown,online,paid,2026-01-06,105353117732,2026-01-04,75.77,6.35,69.42,#45874881036324,paypal,64.55,EUR,USD
2026-01-03 23:23:41 -0500,charge,#17687,visa,online,paid,2026-01-06,105342861348,2026-01-06,428.35,11.44,416.91,#45874026053668,card,428.35,USD,USD
2026-01-03 19:23:48 -0500,charge,#17680,visa,online,paid,2026-01-06,105342861348,2026-01-06,59.94,1.86,58.08,#45873328881700,card,59.94,USD,USD
2026-01-02 20:18:54 -0500,charge,#17677,visa,online,paid,2026-01-06,105342861348,2026-01-06,86.99,2.56,84.43,#45868493045796,card,86.99,USD,USD
2026-01-02 20:07:03 -0500,charge,#17676,visa,online,paid,2026-01-06,105342861348,2026-01-06,78.99,2.35,76.64,#45868455985188,card,78.99,USD,USD
2026-01-02 13:35:59 -0500,charge,#17675,discover,online,paid,2026-01-06,105342861348,2026-01-06,32.99,1.16,31.83,#45867008032804,card,32.99,USD,USD
2026-01-02 12:55:28 -0500,charge,#17674,visa,online,paid,2026-01-06,105342861348,2026-01-06,33.97,1.18,32.79,#45866874273828,card,33.97,USD,USD
2026-01-02 09:33:56 -0500,charge,#17673,visa,online,paid,2026-01-06,105342861348,2026-01-06,148.35,4.16,144.19,#45866380951588,card,148.35,USD,USD
2025-12-31 21:13:25 -0500,charge,#17670,master,online,paid,2026-01-05,105308356644,2026-01-05,35.14,1.21,33.93,#45861818040356,card,35.14,USD,USD
2025-12-31 17:37:53 -0500,charge,#17669,visa,online,paid,2026-01-05,105308356644,2026-01-05,83.82,3.68,80.14,#45861344706596,card,115.04,CAD,USD
2025-12-31 11:41:33 -0500,charge,#17667,master,online,paid,2026-01-05,105308356644,2026-01-05,122.53,3.49,119.04,#45860133142564,card,122.53,USD,USD
2025-12-31 09:19:00 -0500,charge,#17666,visa,online,paid,2026-01-05,105308356644,2026-01-05,32.99,1.16,31.83,#45859797172260,card,32.99,USD,USD
2025-12-30 12:43:23 -0500,charge,#17664,visa,online,paid,2026-01-02,105269887012,2026-01-02,70.32,4.45,65.87,#45856852836388,shop_pay_installments,70.32,USD,USD
2025-12-30 02:52:14 -0500,charge,#17662,master,online,paid,2026-01-02,105269887012,2026-01-02,98.95,2.87,96.08,#45855706873892,card,98.95,USD,USD
2025-12-30 01:05:31 -0500,charge,#17661,visa,online,paid,2026-01-02,105269887012,2026-01-02,33.97,1.18,32.79,#45855574753316,card,33.97,USD,USD
2025-12-29 18:20:41 -0500,charge,#17656,master,online,paid,2025-12-31,105239117860,2025-12-31,96.75,2.82,93.93,#45854741069860,card,96.75,USD,USD
2025-12-29 16:08:57 -0500,charge,#17655,master,online,paid,2025-12-31,105239117860,2025-12-31,58.99,1.83,57.16,#45854116708388,card,58.99,USD,USD
2025-12-28 17:19:52 -0500,charge,#17654,unknown,online,paid,2025-12-30,105219915812,2025-12-28,81.14,3.32,77.82,#45851095105572,paypal,81.14,USD,USD
2025-12-28 10:15:23 -0500,charge,#17653,visa,online,paid,2025-12-30,105211265060,2025-12-30,32.99,1.16,31.83,#45849677987876,card,32.99,USD,USD
2025-12-28 09:15:52 -0500,charge,#17652,visa,online,paid,2025-12-30,105211265060,2025-12-30,94.00,2.74,91.26,#45849559859236,card,94.00,USD,USD
2025-12-28 08:19:14 -0500,charge,#17651,visa,online,paid,2025-12-30,105211265060,2025-12-30,144.15,4.05,140.10,#45849455231012,card,144.15,USD,USD
2025-12-27 22:00:18 -0500,charge,#17650,visa,online,paid,2025-12-30,105211265060,2025-12-30,78.99,2.35,76.64,#45848459345956,card,78.99,USD,USD
2025-12-27 20:15:01 -0500,charge,#17649,unknown,online,paid,2025-12-29,105187246116,2025-12-28,94.00,3.77,90.23,#45848200085540,paypal,94.00,USD,USD
2025-12-27 20:05:39 -0500,charge,#17648,visa,online,paid,2025-12-30,105211265060,2025-12-30,54.59,3.52,51.07,#45848135729188,shop_pay_installments,54.59,USD,USD
2025-12-27 17:52:19 -0500,charge,#17647,master,online,paid,2025-12-30,105211265060,2025-12-30,58.34,1.82,56.52,#45847640309796,card,58.34,USD,USD
2025-12-26 22:04:39 -0500,charge,#17644,american_express,online,paid,2025-12-30,105211265060,2025-12-30,144.15,5.49,138.66,#45844481769508,card,144.15,USD,USD
2025-12-26 21:10:25 -0500,charge,#17643,visa,online,paid,2025-12-30,105211265060,2025-12-30,52.81,1.67,51.14,#45844319567908,card,52.81,USD,USD
2025-12-26 19:05:12 -0500,charge,#17642,visa,online,paid,2025-12-30,105211265060,2025-12-30,48.14,1.55,46.59,#45843779125284,card,48.14,USD,USD
2025-12-26 18:30:26 -0500,charge,#17641,visa,online,paid,2025-12-30,105211265060,2025-12-30,58.34,1.82,56.52,#45828149739556,card,58.34,USD,USD
2025-12-26 16:35:39 -0500,charge,#17639,master,online,paid,2025-12-30,105211265060,2025-12-30,96.75,2.82,93.93,#45843057410084,card,96.75,USD,USD
2025-12-26 10:31:22 -0500,charge,#17636,visa,online,paid,2025-12-28,105167552548,2025-12-26,98.95,2.87,96.08,#45841500504100,card,98.95,USD,USD
2025-12-25 16:41:31 -0500,charge,#17634,visa,online,paid,2025-12-29,105178071076,2025-12-29,30.23,1.09,29.14,#45839594389540,card,30.23,USD,USD
2025-12-25 14:57:45 -0500,charge,#17633,visa,online,paid,2025-12-29,105178071076,2025-12-29,100.30,2.91,97.39,#45839375138852,card,100.30,USD,USD
2025-12-25 12:10:55 -0500,charge,#17632,master,online,paid,2025-12-29,105178071076,2025-12-29,94.75,2.76,91.99,#45838997717028,card,94.75,USD,USD
2025-12-24 23:07:13 -0500,charge,#17631,visa,online,paid,2025-12-29,105178071076,2025-12-29,140.00,3.94,136.06,#45837604356132,card,140.00,USD,USD
2025-12-24 16:49:15 -0500,charge,#17630,visa,online,paid,2025-12-29,105178071076,2025-12-29,100.00,2.90,97.10,#45836883689508,card,100.00,USD,USD
2025-12-24 14:58:01 -0500,charge,#17629,visa,online,paid,2025-12-29,105178071076,2025-12-29,58.34,1.82,56.52,#45836475957284,card,58.34,USD,USD
2025-12-24 11:29:59 -0500,charge,#17628,unknown,online,paid,2025-12-26,105155035172,2025-12-24,81.14,3.32,77.82,#45835673665572,paypal,81.14,USD,USD
2025-12-24 00:54:32 -0500,charge,#17627,visa,online,paid,2025-12-29,105178071076,2025-12-29,58.34,1.82,56.52,#45834503487524,card,58.34,USD,USD
2025-12-22 03:49:21 -0500,charge,#17625,master,online,paid,2025-12-24,105111715876,2025-12-24,74.73,3.32,71.41,#45826969534500,card,63.71,EUR,USD
2025-12-21 15:59:41 -0500,charge,#17624,visa,online,paid,2025-12-23,105080127524,2025-12-23,33.97,1.18,32.79,#45825075806244,card,33.97,USD,USD
2025-12-21 12:54:23 -0500,charge,#17623,visa,online,paid,2025-12-23,105080127524,2025-12-23,33.97,1.18,32.79,#45824243302436,card,33.97,USD,USD
2025-12-20 22:35:22 -0500,charge,#17621,visa,online,paid,2025-12-23,105080127524,2025-12-23,32.99,1.49,31.50,#45822564237348,card,32.99,USD,USD
2025-12-20 20:19:15 -0500,charge,#17620,master,online,paid,2025-12-23,105080127524,2025-12-23,33.97,1.18,32.79,#45784406523940,card,33.97,USD,USD
2025-12-20 16:06:49 -0500,charge,#17619,visa,online,paid,2025-12-23,105080127524,2025-12-23,64.99,1.99,63.00,#45815201267748,card,64.99,USD,USD
2025-12-20 07:28:25 -0500,charge,#17618,visa,online,paid,2025-12-23,105080127524,2025-12-23,66.74,2.04,64.70,#45819162886180,card,66.74,USD,USD
2025-12-20 05:25:33 -0500,charge,#17617,unknown,online,paid,2025-12-22,105057746980,2025-12-20,167.43,13.47,153.96,#45818828259364,paypal,142.85,EUR,USD
2025-12-19 20:11:01 -0500,charge,#17613,american_express,online,paid,2025-12-23,105080127524,2025-12-23,37.97,1.67,36.30,#45816564711460,card,37.97,USD,USD
2025-12-19 20:00:43 -0500,charge,#17612,visa,online,paid,2025-12-23,105080127524,2025-12-23,158.00,4.41,153.59,#45816528502820,card,158.00,USD,USD
2025-12-19 19:27:22 -0500,charge,#17611,visa,online,paid,2025-12-23,105080127524,2025-12-23,163.67,4.56,159.11,#45816381014052,card,163.67,USD,USD
2025-12-19 11:45:40 -0500,charge,#17609,visa,online,paid,2025-12-23,105080127524,2025-12-23,37.97,1.29,36.68,#45813413347364,card,37.97,USD,USD
2025-12-19 02:33:18 -0500,charge,#17608,unknown,online,paid,2025-12-21,105035464740,2025-12-19,110.15,4.33,105.82,#45808988061732,paypal,110.15,USD,USD
2025-12-18 12:00:02 -0500,charge,#17606,visa,online,paid,2025-12-22,105047195684,2025-12-22,37.97,1.29,36.68,#45808991043620,card,37.97,USD,USD
2025-12-17 23:09:16 -0500,refund,#17599,master,online,paid,2025-12-22,105047195684,2025-12-19,-4.00,0.00,-4.00,#45802626351140,card,4.00,USD,USD
2025-12-17 20:26:31 -0500,charge,#17604,visa,online,paid,2025-12-22,105047195684,2025-12-22,40.14,1.34,38.80,#45806710194212,card,40.14,USD,USD
2025-12-17 16:21:10 -0500,charge,#17603,unknown,online,paid,2025-12-19,105014525988,2025-12-17,85.75,3.48,82.27,#45805755662372,paypal,85.75,USD,USD
2025-12-17 09:45:04 -0500,refund,#17234,visa,online,paid,2025-12-19,105000697892,2025-12-17,-8.32,0.00,-8.32,#45728018890788,card,8.32,USD,USD
2025-12-17 08:50:16 -0500,charge,#17600,visa,online,paid,2025-12-19,105000697892,2025-12-19,36.99,1.26,35.73,#45804009127972,card,36.99,USD,USD
2025-12-16 22:52:16 -0500,charge,#17599,master,online,paid,2025-12-19,105000697892,2025-12-19,4.00,0.44,3.56,#45802626351140,card,4.00,USD,USD
2025-12-16 17:45:58 -0500,charge,#17597,visa,online,paid,2025-12-18,104972058660,2025-12-18,154.62,4.32,150.30,#45801669787684,card,154.62,USD,USD
2025-12-15 23:48:22 -0500,charge,#17570,visa,online,paid,2025-12-18,104972058660,2025-12-18,78.14,4.91,73.23,#45798481690660,shop_pay_installments,78.14,USD,USD
2025-12-15 15:18:26 -0500,charge,#17569,visa,online,paid,2025-12-17,104940372004,2025-12-17,158.00,4.41,153.59,#45796984619044,card,158.00,USD,USD
2025-12-14 14:33:47 -0500,charge,#17567,visa,online,paid,2025-12-16,104899969060,2025-12-16,162.75,4.53,158.22,#45792298795044,card,162.75,USD,USD
2025-12-14 04:01:03 -0500,charge,#17566,visa,online,paid,2025-12-16,104899969060,2025-12-16,36.99,1.26,35.73,#45790247878692,card,36.99,USD,USD
2025-12-13 18:03:36 -0500,charge,#17565,master,online,paid,2025-12-16,104899969060,2025-12-16,87.99,2.59,85.40,#45788018245668,card,87.99,USD,USD
2025-12-13 13:00:32 -0500,charge,#17564,american_express,online,paid,2025-12-16,104899969060,2025-12-16,50.00,2.10,47.90,#45786007961636,card,50.00,USD,USD
2025-12-12 20:19:51 -0500,charge,#17563,american_express,online,paid,2025-12-16,104899969060,2025-12-16,83.75,3.32,80.43,#45782004203556,card,83.75,USD,USD
2025-12-12 13:27:47 -0500,charge,#17559,visa,online,paid,2025-12-16,104899969060,2025-12-16,33.63,1.17,32.46,#45780489895972,card,33.63,USD,USD
2025-12-12 12:52:14 -0500,charge,#17558,unknown,online,paid,2025-12-14,104858484772,2025-12-12,110.15,4.33,105.82,#45780346208292,paypal,110.15,USD,USD
2025-12-12 01:57:04 -0500,charge,#17557,visa,online,paid,2025-12-16,104899969060,2025-12-16,135.95,3.83,132.12,#45778906284068,card,135.95,USD,USD
2025-12-12 00:31:11 -0500,charge,#17556,visa,online,paid,2025-12-16,104899969060,2025-12-16,83.95,2.48,81.47,#45778782126116,card,83.95,USD,USD
2025-12-11 23:31:27 -0500,charge,#17555,visa,online,paid,2025-12-16,104899969060,2025-12-16,87.99,2.59,85.40,#45778694144036,card,87.99,USD,USD
2025-12-11 22:57:47 -0500,charge,#17554,unknown,online,paid,2025-12-13,104852062244,2025-12-12,96.33,7.96,88.37,#45778636013604,paypal,132.83,CAD,USD
2025-12-11 18:30:00 -0500,charge,#17553,visa,online,paid,2025-12-15,104865890340,2025-12-15,58.34,1.82,56.52,#45777981407268,card,58.34,USD,USD
2025-12-10 22:35:01 -0500,charge,#17551,visa,online,paid,2025-12-15,104865890340,2025-12-15,37.97,1.29,36.68,#45774999126052,card,37.97,USD,USD
2025-12-10 15:04:55 -0500,charge,#17550,visa,online,paid,2025-12-12,104821915684,2025-12-12,104.65,3.02,101.63,#45773660454948,card,104.65,USD,USD
2025-12-09 15:51:36 -0500,charge,#17548,visa,online,paid,2025-12-11,104790720548,2025-12-11,37.97,1.29,36.68,#45770472849444,card,37.97,USD,USD
2025-12-09 14:24:44 -0500,charge,#17547,visa,online,paid,2025-12-11,104800321572,2025-12-09,87.99,2.59,85.40,#45770196549668,card,87.99,USD,USD
2025-12-09 01:12:52 -0500,charge,#17546,master,online,paid,2025-12-11,104800321572,2025-12-09,86.15,2.54,83.61,#45768422653988,card,86.15,USD,USD
2025-12-08 20:59:22 -0500,charge,#17542,american_express,online,paid,2025-12-11,104790720548,2025-12-11,87.99,3.47,84.52,#45767981891620,card,87.99,USD,USD
2025-12-08 18:22:50 -0500,charge,#17539,unknown,online,paid,2025-12-10,104766406692,2025-12-08,76.14,3.15,72.99,#45767568818212,paypal,76.14,USD,USD
2025-12-08 18:12:53 -0500,shop_cash_credit,#17535,unknown,online,paid,2025-12-10,104753233956,2025-12-08,4.22,0.10,4.12,,,,,USD
2025-12-08 12:55:15 -0500,charge,#17535,visa,online,paid,2025-12-10,104753233956,2025-12-10,32.77,1.15,31.62,#45766667632676,card,32.77,USD,USD
2025-12-08 00:31:35 -0500,charge,#17523,discover,online,paid,2025-12-10,104753233956,2025-12-10,68.34,2.08,66.26,#45765442666532,card,68.34,USD,USD
2025-12-07 22:47:11 -0500,charge,#17518,visa,online,paid,2025-12-10,104753233956,2025-12-10,81.35,2.42,78.93,#45765275648036,card,81.35,USD,USD
2025-12-07 20:34:42 -0500,charge,#17513,visa,online,paid,2025-12-10,104753233956,2025-12-10,81.35,2.42,78.93,#45764985356324,card,81.35,USD,USD
2025-12-07 15:14:56 -0500,charge,#17505,visa,online,paid,2025-12-09,104726593572,2025-12-09,62.19,3.97,58.22,#45763717169188,shop_pay_installments,62.19,USD,USD
2025-12-07 14:37:30 -0500,charge,#17503,master,online,paid,2025-12-09,104726593572,2025-12-09,81.35,2.42,78.93,#45763555000356,card,81.35,USD,USD
2025-12-07 10:48:59 -0500,charge,#17482,visa,online,paid,2025-12-09,104726593572,2025-12-09,78.14,2.33,75.81,#45762737078308,card,78.14,USD,USD
2025-12-06 14:47:35 -0500,charge,#17456,unknown,online,paid,2025-12-08,104702083108,2025-12-06,37.97,1.82,36.15,#45759355519012,paypal,37.97,USD,USD
2025-12-06 12:34:34 -0500,charge,#17455,master,online,paid,2025-12-09,104726593572,2025-12-09,40.99,1.37,39.62,#45743155740708,card,40.99,USD,USD
2025-12-05 13:38:50 -0500,charge,#17443,master,online,paid,2025-12-09,104726593572,2025-12-09,66.74,2.04,64.70,#45754401030180,card,66.74,USD,USD
2025-12-05 10:07:41 -0500,charge,#17440,visa,online,paid,2025-12-09,104726593572,2025-12-09,87.99,2.59,85.40,#45753296584740,card,87.99,USD,USD
2025-12-04 22:24:56 -0500,charge,#17434,discover,online,paid,2025-12-09,104726593572,2025-12-09,110.15,6.80,103.35,#45752286150692,shop_pay_installments,110.15,USD,USD
2025-12-04 14:11:17 -0500,charge,#17430,visa,online,paid,2025-12-08,104688353316,2025-12-08,66.04,2.02,64.02,#45750863593508,card,66.04,USD,USD
2025-12-04 12:21:22 -0500,charge,#17429,visa,online,paid,2025-12-08,104688353316,2025-12-08,113.95,3.26,110.69,#45750514516004,card,113.95,USD,USD
2025-12-04 09:15:00 -0500,charge,#17425,visa,online,paid,2025-12-08,104688353316,2025-12-08,28.17,1.43,26.74,#45750022373412,card,39.35,CAD,USD
2025-12-04 01:59:56 -0500,charge,#17423,visa,online,paid,2025-12-08,104688353316,2025-12-08,113.95,7.02,106.93,#45749125873700,shop_pay_installments,113.95,USD,USD
2025-12-04 01:58:26 -0500,charge,#17422,american_express,online,paid,2025-12-08,104688353316,2025-12-08,29.57,1.36,28.21,#45749131051044,card,29.57,USD,USD
2025-12-04 00:03:30 -0500,refund,#17408,american_express,online,paid,2025-12-08,104688353316,2025-12-05,-3.55,0.00,-3.55,#45745406935076,card,3.55,USD,USD
2025-12-03 20:32:30 -0500,charge,#17420,discover,online,paid,2025-12-08,104688353316,2025-12-08,66.04,2.02,64.02,#45748393508900,card,66.04,USD,USD
2025-12-03 18:15:11 -0500,charge,#17419,master,online,paid,2025-12-05,104645525540,2025-12-05,49.34,1.58,47.76,#45748050493476,card,49.34,USD,USD
2025-12-03 16:21:46 -0500,charge,#17418,visa,online,paid,2025-12-05,104645525540,2025-12-05,80.33,2.39,77.94,#45747734970404,card,80.33,USD,USD
2025-12-03 12:06:14 -0500,charge,#17412,american_express,online,paid,2025-12-05,104645525540,2025-12-05,29.57,1.36,28.21,#45746945982500,card,29.57,USD,USD
2025-12-03 07:33:21 -0500,refund,#17390,american_express,online,paid,2025-12-05,104645525540,2025-12-04,-2.00,0.00,-2.00,#45742401355812,card,2.00,USD,USD
2025-12-03 06:50:23 -0500,marketplace sales tax,#17411,unknown,online,paid,2025-12-05,104645525540,2025-12-03,-2.06,0.00,-2.06,,,,,USD
2025-12-03 06:50:22 -0500,charge,#17411,american_express,online,paid,2025-12-05,104645525540,2025-12-05,27.71,1.30,26.41,#45746152603684,card,27.71,USD,USD
2025-12-03 00:47:02 -0500,charge,#17409,master,online,paid,2025-12-05,104645525540,2025-12-05,49.34,1.58,47.76,#45745505402916,card,49.34,USD,USD
2025-12-02 23:59:02 -0500,charge,#17408,american_express,online,paid,2025-12-05,104645525540,2025-12-05,117.70,4.54,113.16,#45745406935076,card,117.70,USD,USD
2025-12-02 22:14:25 -0500,charge,#17405,visa,online,paid,2025-12-05,104645525540,2025-12-05,110.60,3.18,107.42,#45677687210020,card,110.60,USD,USD
2025-12-02 21:30:27 -0500,charge,#17404,visa,online,paid,2025-12-05,104645525540,2025-12-05,64.29,1.97,62.32,#45745017782308,card,64.29,USD,USD
2025-12-02 21:28:52 -0500,charge,#17403,visa,online,paid,2025-12-05,104645525540,2025-12-05,27.61,1.02,26.59,#45745009819684,card,27.61,USD,USD
