Payment initiation date,Payment ID,Payment amount,Payment completion date,Status,Bank account,Notes
2025/03/04,3460398006802485361,26.92,2025/03/05,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460398006802485361"
2025/03/04,3460390128625356913,4.76,2025/03/04,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460390128625356913"
2025/03/03,3460380836774449265,77.75,2025/03/04,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460380836774449265"
2025/03/01,3460366879000924273,2.38,2025/03/04,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460366879000924273"
2025/02/28,3460358019625554033,93.74,2025/02/28,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460358019625554033"
2025/02/27,3460349249057886321,77.46,2025/02/27,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460349249057886321"
2025/02/26,3460340869136552049,49.42,2025/02/26,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460340869136552049"
2025/02/25,3460332310438121585,16.66,2025/02/25,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460332310438121585"
2025/02/24,3460323940000174193,23.52,2025/02/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460323940000174193"
2025/02/23,3460318331871793265,33.15,2025/02/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460318331871793265"
2025/02/21,3460310245907468401,113.03,2025/02/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460310245907468401"
2025/02/21,3460303483967934577,146.07,2025/02/21,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460303483967934577"
2025/02/19,3460294131711971441,103.49,2025/02/20,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460294131711971441"
2025/02/19,3460288049183232113,65.88,2025/02/19,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460288049183232113"
2025/02/18,3460279458005422193,257.51,2025/02/18,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460279458005422193"
2025/02/17,3460272745518895217,97.13,2025/02/19,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460272745518895217"
2025/02/16,3460268090444779633,82.34,2025/02/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460268090444779633"
2025/02/15,3460260546186350705,39.98,2025/02/19,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460260546186350705"
2025/02/14,3460253039237959793,104.72,2025/02/15,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460253039237959793"
2025/02/12,3460246471551717489,94.91,2025/02/14,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460246471551717489"
2025/02/11,3460233136939307121,1.43,2025/02/12,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460233136939307121"
2025/02/10,3460225877449609329,65.0,2025/02/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460225877449609329"
2025/02/08,3460220721909567601,61.16,2025/02/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460220721909567601"
2025/02/08,3460215196522680433,46.59,2025/02/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460215196522680433"
2025/02/04,3460186183332368497,59.97,2025/02/04,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460186183332368497"
2025/02/03,3460178510201327729,19.99,2025/02/03,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460178510201327729"
2025/02/02,3460173327702200433,139.93,2025/02/04,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460173327702200433"
2025/01/30,3460158783872798833,286.39,2025/01/31,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460158783872798833"
2025/01/30,3460151712939479153,358.98,2025/01/30,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460151712939479153"
2025/01/29,3460144546480427121,635.99,2025/01/29,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460144546480427121"
2025/01/28,3460136195107426417,4.44,2025/01/29,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460136195107426417"
2025/01/25,3460116205141135473,459.77,2025/01/27,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460116205141135473"
2025/01/24,3460108762233933937,26.29,2025/01/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460108762233933937"
2025/01/22,3460101160167641201,8.0,2025/01/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460101160167641201"
2025/01/22,3460093625766744177,41.98,2025/01/22,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460093625766744177"
2025/01/20,3460084529654501489,37.48,2025/01/20,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460084529654501489"
2025/01/19,3460079405162139761,14.19,2025/01/20,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460079405162139761"
2025/01/18,3460074610734239857,40.96,2025/01/22,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460074610734239857"
2025/01/17,3460066065075769457,17.64,2025/01/20,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460066065075769457"
2025/01/16,3460057565352792177,9.06,2025/01/16,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460057565352792177"
2025/01/16,3460052194202718321,21.56,2025/01/16,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460052194202718321"
2025/01/14,3460039233103564913,5.88,2025/01/14,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460039233103564913"
2025/01/12,3460032067862892657,13.95,2025/01/13,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460032067862892657"
2025/01/10,3460020354914816113,155.7,2025/01/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460020354914816113"
2025/01/09,3460014363743654001,42.59,2025/01/11,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460014363743654001"
2025/01/09,3460009899678929009,62.95,2025/01/09,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460009899678929009"
2025/01/07,3460003378252189809,135.47,2025/01/08,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460003378252189809"
2025/01/07,3459997946200494193,96.74,2025/01/07,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3459997946200494193"
2025/01/05,3459990733651284081,63.11,2025/01/06,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3459990733651284081"
2025/01/05,3459986322238443633,110.46,2025/01/07,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3459986322238443633"
2025/01/03,3459971850938716273,16.9,2025/01/03,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3459971850938716273"
2025/01/01,3459964837547118705,7.47,2025/01/02,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3459964837547118705"
