Payment initiation date,Payment ID,Payment amount,Payment completion date,Status,Bank account,Notes
2025/05/28,3461538655585669233,170.52,2025/05/29,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461538655585669233"
2025/05/27,3461515251626381425,116.2,2025/05/28,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461515251626381425"
2025/05/26,3461491674161123441,51.28,2025/05/27,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461491674161123441"
2025/05/25,3461471252056084593,11.2,2025/05/26,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461471252056084593"
2025/05/24,3461454221034688625,103.7,2025/05/26,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461454221034688625"
2025/05/24,3461431927422685297,25.28,2025/05/26,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461431927422685297"
2025/05/22,3461407635943559281,101.48,2025/05/23,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461407635943559281"
2025/05/21,3461385595427262577,235.2,2025/05/22,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461385595427262577"
2025/05/21,3461366415482785905,104.13,2025/05/21,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461366415482785905"
2025/05/19,3461344585178714225,85.01,2025/05/19,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461344585178714225"
2025/05/18,3461325065873494129,16.4,2025/05/19,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461325065873494129"
2025/05/17,3461287767356117105,31.0,2025/05/19,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461287767356117105"
2025/05/16,3461249700657008753,139.76,2025/05/19,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461249700657008753"
2025/05/15,3461204778572681329,53.44,2025/05/16,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461204778572681329"
2025/05/14,3461189223318589553,36.06,2025/05/15,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461189223318589553"
2025/05/13,3461174997478051953,78.96,2025/05/14,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461174997478051953"
2025/05/12,3461150611836670065,11.68,2025/05/12,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461150611836670065"
2025/05/11,3461140478129836145,108.56,2025/05/12,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461140478129836145"
2025/05/09,3461126414040010865,34.72,2025/05/12,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461126414040010865"
2025/05/08,3461112258330333297,68.76,2025/05/09,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461112258330333297"
2025/05/07,3461098726855708785,70.56,2025/05/08,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461098726855708785"
2025/05/05,3461075697468608625,6.08,2025/05/06,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461075697468608625"
2025/05/05,3461065509923229809,30.38,2025/05/05,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461065509923229809"
2025/05/03,3461056039149080689,35.4,2025/05/05,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461056039149080689"
2025/05/02,3461044976739913841,105.56,2025/05/05,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461044976739913841"
2025/05/02,3461035306669281393,72.8,2025/05/02,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461035306669281393"
2025/05/01,3461023025225764977,18.2,2025/05/01,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461023025225764977"
2025/04/29,3461008195135508593,98.32,2025/04/30,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461008195135508593"
2025/04/29,3460998341150478449,4.14,2025/04/29,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460998341150478449"
2025/04/28,3460985256725876849,3.99,2025/04/28,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460985256725876849"
2025/04/26,3460973398035370097,151.69,2025/04/28,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460973398035370097"
2025/04/25,3460962042094522481,140.69,2025/04/29,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460962042094522481"
2025/04/24,3460951410166435953,260.4,2025/04/25,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460951410166435953"
2025/04/24,3460941248664342641,122.37,2025/04/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460941248664342641"
2025/04/22,3460926845691138161,25.08,2025/04/23,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460926845691138161"
2025/04/21,3460915306135457905,23.52,2025/04/22,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460915306135457905"
2025/04/20,3460903680896045169,1.4,2025/04/22,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460903680896045169"
2025/04/19,3460886440153288817,110.0,2025/04/21,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460886440153288817"
2025/04/17,3460871990538637425,73.42,2025/04/18,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460871990538637425"
2025/04/17,3460862320903491697,23.52,2025/04/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460862320903491697"
2025/04/15,3460848087744680049,17.8,2025/04/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460848087744680049"
2025/04/12,3460815234786103409,52.06,2025/04/14,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460815234786103409"
2025/04/11,3460804386689618033,57.62,2025/04/14,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460804386689618033"
2025/04/10,3460782801121546353,96.44,2025/04/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460782801121546353"
2025/04/09,3460770360771645553,18.82,2025/04/09,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460770360771645553"
2025/04/07,3460755267335524465,24.92,2025/04/08,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460755267335524465"
2025/04/07,3460744610562150513,42.68,2025/04/07,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460744610562150513"
2025/04/05,3460733453154750577,55.71,2025/04/07,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460733453154750577"
2025/04/04,3460722066373513329,72.42,2025/04/07,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460722066373513329"
2025/04/04,3460712816409677937,192.59,2025/04/04,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460712816409677937"
2025/04/02,3460698441035452529,52.11,2025/04/03,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460698441035452529"
