Statement date,Statement ID,Payment ID,Status,Total settlement amount,Net sales,Shipping,Fees,Adjustments,Reserve Amount,Payable amount
2025/02/28,7476028715756029739,3460358019625554033,Paid,104.94,112.0,0.0,-7.06,0,-11.2,93.74
2025/02/27,7475514589229877038,3460349249057886321,Paid,78.72,84.0,0.0,-5.28,0,-1.26,77.46
2025/02/26,7475160938380150574,3460340869136552049,Paid,52.64,56.0,0.0,-3.36,0,-3.22,49.42
2025/02/25,7474985211801929514,3460332310438121585,Paid,0.0,0.0,0.0,0.0,0,16.66,16.66
2025/02/24,7474665853540370219,3460323940000174193,Paid,26.32,28.0,0.0,-1.68,0,-2.8,23.52
2025/02/23,7474033242476365614,3460318331871793265,Paid,0.0,0.0,0.0,0.0,0,33.15,33.15
2025/02/22,7473671480883103534,3460310245907468401,Paid,78.96,84.0,0.0,-5.04,0,34.07,113.03
2025/02/21,7473555179397203755,3460303483967934577,Paid,78.96,84.0,0.0,-5.04,0,67.11,146.07
2025/02/20,7473198484989183790,3460294131711971441,Paid,115.81,123.2,0.0,-7.39,0,-12.32,103.49
2025/02/19,7472548181406959402,3460288049183232113,Paid,71.06,75.6,0.0,-4.54,0,-5.18,65.88
2025/02/18,7472182047738578731,3460279458005422193,Paid,265.91,282.9,0.0,-16.99,0,-8.4,257.51
2025/02/17,7472079932399732522,3460272745518895217,Paid,44.74,47.6,0.0,-2.86,0,52.39,97.13
2025/02/16,7471437997062440750,3460268090444779633,Paid,89.48,95.2,0.0,-5.72,0,-7.14,82.34
2025/02/15,7471371240670889771,3460260546186350705,Paid,44.74,47.6,0.0,-2.86,0,-4.76,39.98
2025/02/14,7470708455578404651,3460253039237959793,Paid,111.86,119.0,0.0,-7.14,0,-7.14,104.72
2025/02/13,7470589067688970030,3460246471551717489,Paid,103.86,110.5,0.0,-6.64,0,-8.95,94.91
2025/02/11,7469840934457362222,3460233136939307121,Paid,-0.67,0.0,0.0,-0.67,0,2.1,1.43
2025/02/10,7469481227461068590,3460225877449609329,Paid,63.92,68.0,0.0,-4.08,0,1.08,65.0
2025/02/09,7468904833249232686,3460220721909567601,Paid,67.11,71.4,0.0,-4.29,0,-5.95,61.16
2025/02/08,7468772735947294510,3460215196522680433,Paid,75.11,79.9,0.0,-4.79,0,-5.89,69.22
2025/02/06,7467721527887464238,3460215196522680433,Paid,-20.25,-15.4,-5.3,0.45,0,-2.38,-22.63
2025/02/04,7466979092059981614,3460186183332368497,Paid,67.11,71.4,0.0,-4.29,0,-7.14,59.97
2025/02/03,7466625460320814894,3460178510201327729,Paid,22.37,23.8,0.0,-1.43,0,-2.38,19.99
2025/02/02,7466449451289249579,3460173327702200433,Paid,156.59,166.6,0.0,-10.01,0,-16.66,139.93
2025/01/31,7465497994423715627,3460158783872798833,Paid,311.6,331.5,0.0,-19.9,0,-25.21,286.39
2025/01/30,7465135746253457194,3460151712939479153,Paid,401.48,425.0,2.0,-25.52,0,-42.5,358.98
2025/01/29,7465034299818559278,3460144546480427121,Paid,711.5,754.8,2.0,-45.3,0,-75.51,635.99
2025/01/28,7464628834147518254,3460136195107426417,Paid,0.0,0.0,0.0,0.0,0,4.73,4.73
2025/01/26,7463639001841370922,3460136195107426417,Paid,-0.29,0.0,0.0,-0.29,0,0.0,-0.29
2025/01/25,7463544865163511598,3460116205141135473,Paid,514.54,547.4,0.0,-32.86,0,-54.77,459.77
2025/01/24,7463157155353446190,3460108762233933937,Paid,22.37,23.8,0.0,-1.43,0,3.92,26.29
2025/01/23,7462876890433554222,3460101160167641201,Paid,0.0,0.0,0.0,0.0,0,8.0,8.0
2025/01/22,7462482403026569006,3460093625766744177,Paid,46.74,47.6,2.0,-2.86,0,-4.76,41.98
2025/01/21,7462026568182056750,3460084529654501489,Paid,19.74,21.0,0.0,-1.26,0,17.74,37.48
2025/01/20,7461687808629933870,3460079405162139761,Paid,0.0,0.0,0.0,0.0,0,14.19,14.19
2025/01/19,7461325388887770926,3460074610734239857,Paid,42.11,44.8,0.0,-2.69,0,-1.15,40.96
2025/01/18,7460955361567622958,3460066065075769457,Paid,19.74,21.0,0.0,-1.26,0,-2.1,17.64
2025/01/17,7460559610190038826,3460057565352792177,Paid,0.0,0.0,0.0,0.0,0,9.06,9.06
2025/01/16,7460238713659082542,3460052194202718321,Paid,19.74,21.0,0.0,-1.26,0,1.82,21.56
2025/01/14,7459201652193691438,3460039233103564913,Paid,0.0,0.0,0.0,0.0,0,5.88,5.88
2025/01/13,7458935843231794990,3460032067862892657,Paid,0.0,0.0,0.0,0.0,0,14.19,14.19
2025/01/12,7458589728158254890,3460032067862892657,Paid,-0.24,0.0,0.0,-0.24,0,0.0,-0.24
2025/01/11,7458114248267351851,3460020354914816113,Paid,141.8,143.0,5.3,-6.5,0,13.9,155.7
2025/01/10,7457699142572361518,3460014363743654001,Paid,0.0,0.0,0.0,0.0,0,42.59,42.59
2025/01/09,7457584746755835691,3460009899678929009,Paid,0.0,0.0,0.0,0.0,0,62.95,62.95
2025/01/08,7456959501560891178,3460003378252189809,Paid,124.05,121.4,10.6,-7.95,0,11.42,135.47
2025/01/07,7456834348218943278,3459997946200494193,Paid,0.0,0.0,0.0,0.0,0,96.74,96.74
2025/01/06,7456239907930130222,3459990733651284081,Paid,0.0,0.0,0.0,0.0,0,63.11,63.11
2025/01/05,7456087204822288170,3459986322238443633,Paid,44.46,42.0,5.3,-2.84,0,66.0,110.46
2025/01/03,7455108461223905066,3459971850938716273,Paid,0.0,0.0,0.0,0.0,0,16.9,16.9
2025/01/02,7454998942640654123,3459964837547118705,Paid,0.0,0.0,0.0,0.0,0,7.47,7.47
2025/01/01,7454620920796284715,3459959425071026289,Paid,59.22,63.0,0.0,-3.78,0,-6.3,52.92
