Payment initiation date,Payment ID,Payment amount,Payment completion date,Status,Bank account,Notes
2025/12/08,3467794620808138865,193.64,2025/12/08,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467794620808138865"
2025/12/07,3467753505484935281,437.04,2025/12/09,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467753505484935281"
2025/12/06,3467717541247619185,361.93,2025/12/08,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467717541247619185"
2025/12/05,3467671722544500849,36.85,2025/12/08,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467671722544500849"
2025/12/04,3467622538905161841,565.37,2025/12/04,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467622538905161841"
2025/12/03,3467578340637839473,603.41,2025/12/03,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467578340637839473"
2025/12/02,3467540527276724337,210.95,2025/12/03,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467540527276724337"
2025/12/01,3467499399855116401,181.13,2025/12/02,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467499399855116401"
2025/12/01,3467458523733463153,281.67,2025/12/01,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467458523733463153"
2025/11/30,3467422260615614577,37.5,2025/12/01,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467422260615614577"
2025/11/29,3467377535299588209,17.27,2025/12/01,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467377535299588209"
2025/11/27,3467319638153531505,160.08,2025/11/28,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467319638153531505"
2025/11/26,3467284814600704113,449.91,2025/11/27,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467284814600704113"
2025/11/25,3467242298895536241,376.13,2025/11/26,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467242298895536241"
2025/11/25,3467212331438084209,146.78,2025/11/25,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467212331438084209"
2025/11/23,3467161253478633585,620.66,2025/11/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467161253478633585"
2025/11/23,3467136562606936177,130.77,2025/11/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467136562606936177"
2025/11/21,3467094986504048753,264.65,2025/11/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467094986504048753"
2025/11/20,3467054803506204785,4.77,2025/11/21,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467054803506204785"
2025/11/19,3467014966607057009,110.46,2025/11/20,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467014966607057009"
2025/11/19,3466982299626672241,17.59,2025/11/19,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466982299626672241"
2025/11/17,3466937251027980401,39.03,2025/11/18,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466937251027980401"
2025/11/16,3466902544542109809,98.81,2025/11/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466902544542109809"
2025/11/16,3466879981195530353,15.26,2025/11/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466879981195530353"
2025/11/15,3466843633263612017,6.81,2025/11/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466843633263612017"
2025/11/14,3466808628915966065,1.76,2025/11/14,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466808628915966065"
2025/11/13,3466773201735553137,76.87,2025/11/13,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466773201735553137"
2025/11/12,3466739124318736497,348.49,2025/11/12,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466739124318736497"
2025/11/11,3466709040463908977,285.78,2025/11/11,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466709040463908977"
2025/11/09,3466668379518832753,135.77,2025/11/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466668379518832753"
2025/11/09,3466643800585965681,282.75,2025/11/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466643800585965681"
2025/11/08,3466609585398976625,544.89,2025/11/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466609585398976625"
2025/11/06,3466572706227130481,456.46,2025/11/07,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466572706227130481"
2025/11/06,3466543812449767537,581.35,2025/11/06,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466543812449767537"
2025/11/04,3466495387583746161,117.48,2025/11/06,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466495387583746161"
2025/11/03,3466462791450398833,78.99,2025/11/05,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466462791450398833"
2025/11/03,3466432199504859249,51.08,2025/11/03,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466432199504859249"
2025/11/01,3466396506847678577,138.78,2025/11/03,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466396506847678577"
2025/10/31,3466364019848417393,119.04,2025/11/04,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466364019848417393"
2025/10/30,3466326809015980145,26.81,2025/10/31,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466326809015980145"
2025/10/30,3466293524790022257,99.98,2025/10/30,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466293524790022257"
2025/10/28,3466249290978332785,60.47,2025/10/29,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466249290978332785"
2025/10/28,3466217552877621361,150.49,2025/10/29,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466217552877621361"
2025/10/26,3466175235650064497,5.41,2025/10/27,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466175235650064497"
2025/10/26,3466147958617706609,144.92,2025/10/27,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466147958617706609"
2025/10/25,3466111320650977393,116.98,2025/10/27,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466111320650977393"
2025/10/23,3466063210697429105,128.18,2025/10/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466063210697429105"
2025/10/23,3466028411903053937,15.68,2025/10/23,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3466028411903053937"
2025/10/22,3465981811686412401,41.38,2025/10/22,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465981811686412401"
2025/10/21,3465940634978848881,14.28,2025/10/21,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465940634978848881"
2025/10/20,3465894477565890673,16.8,2025/10/21,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465894477565890673"
2025/10/19,3465856179427446897,247.74,2025/10/20,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465856179427446897"
2025/10/18,3465805280006869105,19.43,2025/10/20,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465805280006869105"
2025/10/17,3465762968960012401,50.4,2025/10/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465762968960012401"
2025/10/16,3465719565848711281,128.52,2025/10/16,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465719565848711281"
2025/10/14,3465640967604047985,61.38,2025/10/14,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465640967604047985"
2025/10/12,3465599528334954609,87.86,2025/10/13,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465599528334954609"
2025/10/12,3465577478091870321,71.06,2025/10/13,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465577478091870321"
2025/10/11,3465540147226251377,232.16,2025/10/13,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465540147226251377"
2025/10/10,3465499300910567537,326.08,2025/10/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465499300910567537"
2025/10/09,3465453240908222577,151.96,2025/10/09,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465453240908222577"
2025/10/08,3465416683612180593,178.17,2025/10/08,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465416683612180593"
2025/10/06,3465382055362924657,17.79,2025/10/07,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465382055362924657"
2025/10/06,3465350602175975537,17.8,2025/10/06,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465350602175975537"
2025/10/05,3465321316767469681,234.05,2025/10/06,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465321316767469681"
2025/10/04,3465280056456548465,96.11,2025/10/06,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465280056456548465"
2025/10/03,3465244598392819825,88.47,2025/10/03,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465244598392819825"
2025/10/01,3465208032546951281,42.72,2025/10/02,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465208032546951281"
2025/09/29,3465140618820161649,24.92,2025/09/30,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465140618820161649"
2025/09/28,3465104626449158257,25.92,2025/09/29,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465104626449158257"
2025/09/28,3465084775872172145,7.2,2025/09/29,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3465084775872172145"
