Timestamp,What is your age?,Do you have an innie or an outie? ,Have you ever felt insecure about the look of your vulva?,Have you ever felt discomfort while wearing underwear due to the size of your vulva/size of the underwear?,Do you find that some underwear gussets (the crotch) are too small?,Have you ever gotten BV or a yeast infection from wearing underwear that wasn't breathable or was too tight?,"What is the average width of the underwear gussets in your underwear drawer? (measure the width of the crotch of a few pairs, add up all of the numbers, and divide that new number by the total number of pairs you counted)",What is your favorite underwear style?,What is your favorite type of rise?,What styles or colors do you want Cherri to make?,Any other feedback or comments for Cherri?
2021-08-10 00:48:06.491,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-10 01:12:20.623,18 - 24,Outie,Yes,No,No,Yes,,Thong,Lowrise,,
2021-08-10 01:17:29.983,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-10 01:42:06.032,25 - 32,Innie,Yes,No,Yes,Yes,,Cheeky,Highwaisted,Those satin looking ruffled ones are adorable ,"I preordered my first set and I’m stoked to try it out!! Y’all got cute stuff! My fav undies to wear are cotton ones, esp to work. Otherwise I’m open to other fabrics for special occasions."
2021-08-10 01:42:38.508,25 - 32,Innie,No,Yes,Yes,No,,Thong,Highwaisted,purple ,
2021-08-10 01:58:56.382,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,Sage or mint green,"Cherri is one of my favorite small businesses to support, thank you for listening to us"
2021-08-10 02:20:34.771,18 - 24,Outie,Yes,Yes,Yes,No,,Midrise/Lowrise Bikini,Midrise,,
2021-08-10 03:00:14.678,18 - 24,Innie,No,No,Yes,No,,Midrise/Lowrise Bikini,Midrise,,
2021-08-10 04:16:28.934,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-10 04:44:32.078,18 - 24,Innie,Yes,Yes,Yes,Yes,,Brief,Midrise,Nude-pink-brown-black,No
2021-08-10 05:56:03.123,25 - 32,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,"Black, powder pink, shades of “nude” ",Keep going!! Your underwear rocks
2021-08-10 06:13:15.506,Under 18,Innie,Yes,No,No,No,,Midrise/Lowrise Bikini,Highwaisted,maybe a pride one,no! everything is just perfect 
2021-08-10 06:25:14.194,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,Cotton with lace trim! 😊,
2021-08-10 06:40:08.075,33 - 39,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,Black ,
2021-08-10 07:48:29.845,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-10 08:33:49.446,18 - 24,Innie,No,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Midrise,Orange/blue,I love your company! I wish my budget allowed for me to purchase more product 😂
2021-08-10 08:54:15.234,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-10 09:27:39.189,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,All shades of purple!,Keep being awesome :)
2021-08-10 09:41:33.573,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,I’d love to see some purple,Customer service & products are impeccable. Keep up the good work xx
2021-08-10 09:49:47.829,25 - 32,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Black,I love you! 
2021-08-10 10:02:36.707,25 - 32,Outie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,Cheekies! ,You have changed my life and my confidence. Thank you.
2021-08-10 10:14:05.168,40 +,Innie,No,No,No,No,,Thong,Midrise,Seamless would be hard to resist ,
2021-08-10 10:29:14.235,Under 18,Innie,Yes,Yes,Yes,No,,Brief,Midrise,Mid rise ,
2021-08-10 10:35:31.476,25 - 32,Outie,Yes,No,No,No,,Thong,Highwaisted,,
2021-08-10 10:42:04.691,18 - 24,Innie,No,No,No,No,,Cheeky,Highwaisted,Would love to see a green,
2021-08-10 11:01:33.157,18 - 24,Innie,No,No,Yes,Yes,,Brief,Midrise,Green,
2021-08-10 11:29:57.868,18 - 24,Innie,Yes,No,No,No,,Brief,Highwaisted,,
2021-08-10 11:31:12.918,18 - 24,Outie,Yes,Yes,Yes,No,,Brief,Highwaisted,,
2021-08-10 11:41:34.734,25 - 32,Outie,Yes,Yes,Yes,No,,Shortie/Boxer,Highwaisted,,
2021-08-10 12:06:11.661,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-10 13:18:01.770,25 - 32,Innie,No,No,No,No,,Thong,Lowrise,,
2021-08-10 13:23:18.798,25 - 32,Innie,No,No,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-10 13:52:19.898,25 - 32,Outie,Yes,No,No,No,,Thong,Midrise,Black! Strappy!! ,Thank you for making the convo around vulvas less awkward and more visible!!!
2021-08-10 14:59:05.370,Under 18,Outie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-10 15:09:08.483,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,"i love the polka dot black thing and the strawberry thong, it's such a comfortable style and i've already ordered multiples, maybe some more colors of that style? also maybe some cheeky style?","thank you for using cotton, it's hard to find cotton underwear these days, especially ones that are cute and flattering! "
2021-08-10 15:21:49.348,18 - 24,Innie,Yes,Yes,Yes,Yes,,Brief,Highwaisted,,
2021-08-10 15:59:24.050,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,"Purple, smaller triangle bras, or like less fabric over the boobs",Nooe
2021-08-10 16:17:32.272,Under 18,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,"Red, black and seamless or tiny but with enough room for the cooch",
2021-08-10 16:51:20.465,25 - 32,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-10 17:28:52.884,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Lowrise,,
2021-08-10 19:03:54.600,25 - 32,Innie,No,No,No,No,,Thong,Midrise,,
2021-08-10 19:09:39.681,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Midrise,Something purple!!! Or a fabric with butterflies would be so cute,You’re brand makes me feel confident & sexy and I’m so thankful for that!!
2021-08-10 19:42:53.201,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,"dark brown, burgundy, burnt orange ",
2021-08-10 19:56:10.783,18 - 24,Innie,No,No,No,No,,Thong,Midrise,Blue!,
2021-08-10 19:56:12.738,18 - 24,Innie,No,No,No,No,,Thong,Midrise,Blue!,
2021-08-10 20:47:04.593,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,Pink and cream ruffles!,More midsize bodies modeling  (size 8-12)
2021-08-10 20:54:00.651,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,High waisted anything sage green or pastels ,I love what you are doing 
2021-08-10 21:47:32.351,Under 18,Innie,No,No,Yes,No,,Cheeky,Lowrise,"seamless, anything that w cute designs but don't show through legggings",
2021-08-11 01:17:00.252,Under 18,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Literally please make a bralette that doesn’t have thicker straps for larger sizes😭 I just want thin straps for once in my life,
2021-08-11 01:37:19.829,25 - 32,Outie,Yes,Yes,Yes,Yes,,Thong,Lowrise,Black ,
2021-08-11 13:37:18.216,33 - 39,Innie,No,No,Yes,No,,Shortie/Boxer,Lowrise,,
2021-08-11 13:43:36.305,25 - 32,Outie,Yes,Yes,Yes,Yes,,Brief,Highwaisted,"Plain, earth tones",I love your underwear so much!! So comfy
2021-08-11 13:47:29.293,25 - 32,Outie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,Blue ,
2021-08-11 13:52:35.650,25 - 32,Outie,No,Yes,Yes,Yes,,Brief,Highwaisted,,
2021-08-11 13:52:48.067,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,"Red, black",
2021-08-11 13:53:21.357,25 - 32,Outie,Yes,Yes,Yes,Yes,,Brief,Highwaisted,Something in green! 💚💚,You guys are amazing and I only want to buy undies from Cherri from now on haha.
2021-08-11 14:03:55.646,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Midrise,Shades of blue ,
2021-08-11 14:06:46.577,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-11 14:16:55.787,25 - 32,Innie,No,No,No,Yes,,Thong,Highwaisted,Browns/earth tones ,Your underwear are the best. Period.
2021-08-11 14:19:55.975,25 - 32,Outie,No,Yes,Yes,Yes,,Cheeky,Highwaisted,"green, nudes, mesh in any color !!",
2021-08-11 14:37:03.308,25 - 32,Innie,Yes,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Highwaisted,High-cut/French cut briefs,
2021-08-11 14:40:26.587,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,dainty purple,
2021-08-11 14:40:30.281,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,The vintage pattern is beautiful! More like that!,"This is a beautiful business, it makes me proud to be a woman. Looking forward to buying more from Cherri!"
2021-08-11 14:49:03.749,40 +,Innie,No,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Midrise,,
2021-08-11 14:57:12.840,25 - 32,Innie,No,Yes,No,Yes,,Midrise/Lowrise Bikini,Highwaisted,Pink!,
2021-08-11 15:06:24.602,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,"Burnt orange, burgundy, fall colors ",You’re perfection 💕
2021-08-11 15:46:39.411,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Highwaisted,Pink! Or maybe some neutrals to wear with slightly sheer bottoms,
2021-08-11 16:15:41.507,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,Natural colors ,I wanted to thank you for helping me accepting myself more 💕 - greetings from austria 🇦🇹 
2021-08-11 16:44:49.992,25 - 32,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,Purple/lilac/more aqua/fun prints/lime green/forest green/orange,Would love bandeau style bralettes with straps. Like straight across vs triangle. Like a cropped spaghetti strap top. 
2021-08-11 17:44:01.825,25 - 32,Innie,No,No,Yes,Yes,,Midrise/Lowrise Bikini,Highwaisted,Maybe some orange or like 70s pattern styles xx,
2021-08-11 18:01:04.056,18 - 24,Outie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,nude colors,
2021-08-11 18:24:46.604,18 - 24,Innie,Yes,Yes,Yes,No,,Midrise/Lowrise Bikini,Lowrise,,
2021-08-11 18:41:25.500,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-11 19:49:45.105,33 - 39,Innie,No,No,No,Yes,,Midrise/Lowrise Bikini,Midrise,Black everything ,
2021-08-11 20:10:39.530,Under 18,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-11 21:21:19.604,18 - 24,Innie,No,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-11 21:30:25.432,25 - 32,Innie,Yes,Yes,No,No,,Midrise/Lowrise Bikini,Midrise,All the colors 😂,
2021-08-11 22:19:06.664,25 - 32,Innie,Yes,No,Yes,Yes,,Brief,Midrise,,
2021-08-11 23:17:53.905,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-11 23:34:15.245,18 - 24,Innie,No,Yes,Yes,Yes,,Thong,Highwaisted,Green - sunflowers ,
2021-08-11 23:34:17.265,18 - 24,Innie,No,Yes,Yes,Yes,,Thong,Highwaisted,Green - sunflowers ,
2021-08-12 00:35:29.260,18 - 24,Outie,No,Yes,Yes,No,,Cheeky,Highwaisted,"Blue! Teal! Peach, ",Please restock! There isn’t enough smalls! 
2021-08-12 00:44:44.721,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,Pink 😍,
2021-08-12 01:06:09.396,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,More options with v and g string ,I love you 🍒 💕 lol 
2021-08-12 01:43:21.561,33 - 39,Innie,No,No,Yes,Yes,,Thong,Highwaisted,,
2021-08-12 01:46:43.161,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,a white or colored set with red cherries scattered around. with frills on the outside for almost a girly feel.. i hope that all make sense lol!!! ,
2021-08-12 05:12:47.784,25 - 32,Innie,Yes,No,Yes,No,,Thong,Highwaisted,,
2021-08-12 06:43:28.440,Under 18,Outie,Yes,Yes,Yes,Yes,,Brief,Midrise,Cherry,Thankyou I just found your page on tiktok
2021-08-12 08:02:50.445,25 - 32,Innie,No,Yes,Yes,Yes,,Cheeky,Midrise,Without patterns. With cute details like ruffles or vintage laces for texture,
2021-08-12 08:49:02.905,18 - 24,Innie,Yes,No,Yes,Yes,,Cheeky,Lowrise,"Pink, lilac, mauve, orange ",
2021-08-12 09:11:15.489,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,Ya got black and red covered. I really like the cream colored Bandaeu. ooooo maybe a leafy green color.,Amazing work! Amazing models! Amazing underwear!
2021-08-12 10:31:06.357,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,black/neutral ,you’re incredible 
2021-08-12 11:05:59.403,25 - 32,Innie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,Purple,
2021-08-12 12:19:48.599,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,Burgundy,<3
2021-08-12 12:29:33.275,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,Bright green. Red. Orange ,"❤️❤️ love ur underwear, inclusion, awareness of outies"
2021-08-12 12:48:48.467,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,#ecbcfd #8986ca,"I wear a M in underwear and I wear thongs, But I like the high-wasted form. And what I've found is that there is always a lot of extra fabric from the crotch area to the back of the wasteband, if that makes since? I position the underwear where I want on my hips and where my labia majora is covered and once I do that and the back string in in between my cheeks I have a lot of extra fabric at the back of the waistband from the string. I don't know if that makes since but I'm honestly super open to discussing it. I don't know if you need more clarification or if it cal even be helped or if it's just my body but if you ever want more info my name is Tehrynn and my email is frecklesinthesky06@gmail.com. Thank you for all the work you do!!"
2021-08-12 13:50:41.462,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-12 14:31:46.881,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Highwaisted,Blue/black!,I love your tiktoks you help me feel comfortable 🥰🥰
2021-08-12 20:42:05.769,18 - 24,Innie,No,No,Yes,No,,Thong,Highwaisted,orange ,
2021-08-12 21:33:48.959,18 - 24,Outie,Yes,Yes,Yes,Yes,,Brief,Midrise,Black ,
2021-08-12 22:10:04.635,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Black/gray/neon greeeeen,
2021-08-12 22:21:53.758,25 - 32,Outie,Yes,Yes,Yes,No,,Shortie/Boxer,Midrise,Cute prints,
2021-08-13 02:35:01.362,Under 18,Outie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-13 06:43:28.791,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-13 13:47:20.451,Under 18,Innie,Yes,Yes,Yes,No,,Brief,Midrise,Mid rise brief,"I wish I could wear your bralettes but my band size is a 30, maybe as you expand your size range more you could include an xxs?"
2021-08-13 14:15:54.238,18 - 24,Outie,Yes,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Highwaisted,Neutrals/nudes; Cute patterns; satin with cotton panty lining ,I bought 1 bra and 1 panty. Girl that shit is so soft and amazing. Worth every damn penny spent on it. I wanna buy more to replace all my undies 
2021-08-13 17:16:29.691,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,pink! ,
2021-08-13 20:57:30.121,18 - 24,Outie,Yes,No,Yes,Yes,,Thong,Highwaisted,,
2021-08-14 02:06:49.766,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-14 07:34:47.828,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Highwaisted,Green,
2021-08-14 22:09:52.346,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-15 00:51:21.634,18 - 24,Outie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,Stars ,
2021-08-15 02:06:12.018,Under 18,Innie,No,Yes,Yes,No,,Shortie/Boxer,Midrise,Blue,
2021-08-15 08:51:31.389,18 - 24,Outie,Yes,Yes,Yes,No,,Brief,Highwaisted,,
2021-08-15 09:29:45.890,33 - 39,Outie,Yes,Yes,No,No,,Cheeky,Lowrise,Mint,Love you and your brand 😘 
2021-08-15 13:07:39.060,Under 18,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,Thongs that don’t make my lips fall out the sides and bikini that don’t cut my butt into 4 butts,Love the idea!!!! Keep it uppppp!!!!
2021-08-15 13:07:41.894,18 - 24,Outie,No,Yes,Yes,Yes,,Thong,Midrise,Purple,
2021-08-15 14:54:43.452,Under 18,Outie,Yes,No,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-15 21:53:38.052,18 - 24,Innie,No,Yes,Yes,Yes,,Thong,Midrise,Pastels ,Invisible panties (not to be seen under thin fabric)
2021-08-16 03:17:22.142,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,All,
2021-08-16 10:49:02.395,Under 18,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-16 14:05:39.960,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-16 17:13:37.863,18 - 24,Outie,Yes,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Midrise,,
2021-08-17 08:40:50.734,Under 18,Outie,Yes,Yes,Yes,No,,Brief,Lowrise,,
2021-08-17 08:49:56.367,25 - 32,Innie,No,No,Yes,No,,Midrise/Lowrise Bikini,Midrise,Lasercut,
2021-08-18 10:40:14.552,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-18 13:30:15.756,Under 18,Outie,Yes,Yes,Yes,No,,Midrise/Lowrise Bikini,Midrise,Black,
2021-08-19 00:49:16.997,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Midrise,Pink,
2021-08-19 18:48:25.200,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Lowrise,black! nude! white!! plus all kinds of pretty colours :) but im so partial to nudes!,i appreciate you:) thank you
2021-08-19 23:50:53.714,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-20 05:50:08.573,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-20 18:42:14.403,18 - 24,Innie,No,Yes,Yes,No,,Thong,Midrise,Sexy but covered,
2021-08-21 00:20:34.650,Under 18,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Possibly Lacey high cut :),
2021-08-21 12:54:12.099,18 - 24,Innie,No,No,Yes,No,,Midrise/Lowrise Bikini,Highwaisted,Black and red,
2021-08-21 18:37:33.445,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-21 18:38:36.866,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-22 11:31:53.779,18 - 24,Outie,Yes,Yes,Yes,Yes,,Brief,Midrise,"Underwear with trans women in mind, my “stuff” doesn’t fit regular panties well.",
2021-08-22 16:13:02.491,33 - 39,Innie,No,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-22 16:23:57.709,40 +,Innie,No,Yes,Yes,Yes,,Brief,Midrise,,
2021-08-22 17:07:16.407,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Midrise,Lots of purples ,
2021-08-22 17:12:20.013,25 - 32,Innie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-22 17:13:59.509,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Midrise,"plain black, beige",
2021-08-22 17:14:43.588,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,,I love your prouducts
2021-08-22 17:16:44.638,Under 18,Outie,No,Yes,Yes,No,,Midrise/Lowrise Bikini,Midrise,A deeper red or a navy blue ,
2021-08-22 17:17:01.952,18 - 24,Outie,No,Yes,Yes,No,,Thong,Midrise,,
2021-08-22 17:21:32.770,18 - 24,Innie,No,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-22 17:26:14.720,25 - 32,Innie,Yes,No,Yes,Yes,,Cheeky,Highwaisted,"red, black, lilac, minty green ",
2021-08-22 17:27:50.197,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-22 17:30:13.037,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-22 17:30:31.333,25 - 32,Outie,Yes,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Midrise,,
2021-08-22 17:30:41.320,25 - 32,Innie,No,Yes,Yes,No,,Midrise/Lowrise Bikini,Lowrise,,
2021-08-22 17:31:09.398,25 - 32,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-22 17:31:11.849,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Solids and cute patterns with fruits and stuff 🤣,
2021-08-22 17:31:23.668,18 - 24,Outie,Yes,No,Yes,No,,Thong,Midrise,Bright colours,
2021-08-22 17:31:23.725,18 - 24,Innie,No,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-22 17:32:18.717,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-22 17:32:41.476,18 - 24,Innie,No,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-22 17:32:57.138,18 - 24,Innie,No,No,Yes,No,,Shortie/Boxer,Highwaisted,Fun patterns,
2021-08-22 17:33:05.794,25 - 32,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,Every color,
